"","ID","LongID","SiO2_n","TiO2_n","Al2O3_n","FeO_n","MnO_n","MgO_n","CaO_n","Na2O_n","K2O_n","Total_n","Type","Group","Eruption_ID","Volcano"
"1","SAM-1","SAM-1_A1-1_A1_Aguillera",0.0383446353595208,-0.327337377067047,0.831961896693998,-0.73346402720371,-0.572375789701672,-0.631636416614231,-0.295163364682241,-1.49522542559217,1.54865611783826,100,"Acid","SAM","A1","Aguillera"
"2","SAM-2","SAM-2_A1-2_A1_Aguillera",-0.0561496720637022,-0.43988476300757,1.0967134338725,-0.709200711930559,-0.572375789701672,-0.701785659754975,-0.377958324075391,-1.36645161501945,1.48542035148416,100,"Acid","SAM","A1","Aguillera"
"3","SAM-3","SAM-3_A1-3_A1_Aguillera",0.615459868473955,-0.704371119967799,-0.786077305523834,-0.849927940514834,-0.556434458882058,-0.743875205639422,-0.613923958345866,-1.13787810125286,1.48436642204493,100,"Acid","SAM","A1","Aguillera"
"4","SAM-4","SAM-4_A1-4_A1_Aguillera",-0.101646931193406,-0.558059518245119,1.14049926502125,-0.777137994695381,-0.412962481505532,-0.708800584069049,-0.452473787529225,-1.25699387603263,1.57816614213685,100,"Acid","SAM","A1","Aguillera"
"5","SAM-5","SAM-5_A1-5_A1_Aguillera",0.332326925120665,-0.040341542918713,-0.466338910623646,-0.862059598151409,-0.891202406093952,-1.11566619428537,-0.305512734606385,-0.930766889248396,1.6097840253139,100,"Acid","SAM","A1","Aguillera"
"6","SAM-6","SAM-6_MB2-1_MB2_Burney",0.143338310274214,-0.327337377067047,1.05598242815273,-0.175407775921243,-0.412962481505532,0.210154501074699,1.38143456302903,-0.786969467442187,-1.17048183538812,100,"Acid","SAM","MB2","Burney"
"7","SAM-7","SAM-7_MB2-2_MB2_Burney",0.15663750909674,0.235399552635568,1.3074963884723,-0.31977450179649,-0.412962481505532,0.210154501074699,1.23861325807585,-0.806285539028096,-1.35913520501119,100,"Acid","SAM","MB2","Burney"
"8","SAM-8","SAM-8_MB2-3_MB2_Burney",0.0138461112127563,0.0103047807545224,1.38183047391088,-0.0298278842823387,-0.412962481505532,0.631049959919164,1.36073582318074,-0.905012127133851,-1.24425689613457,100,"Acid","SAM","MB2","Burney"
"9","SAM-9","SAM-9_MB2-4_MB2_Burney",0.190585463985828,0.404220631546353,0.309586748337958,-0.296724352286997,-0.412962481505532,0.0698560147932104,1.96099927878108,-0.369527698168939,-1.25479619052692,100,"Acid","SAM","MB2","Burney"
"10","SAM-10","SAM-10_MB2-5_MB2_Burney",-0.14364440115928,0.798136482338183,1.41237872820071,-0.151144460648092,-0.412962481505532,0.981796175622884,1.89890305923621,-0.58307760070204,-1.48666066715863,100,"Acid","SAM","MB2","Burney"
