"","     PC1","     PC2","     PC3","     PC4"
"","Min.   :-3.2759  ","Min.   :-3.8153  ","Min.   :-4.11706  ","Min.   :-4.61966  "
"","1st Qu.:-1.5854  ","1st Qu.:-1.0323  ","1st Qu.:-0.79739  ","1st Qu.:-0.45240  "
"","Median :-0.8264  ","Median :-0.1336  ","Median : 0.07721  ","Median : 0.02526  "
"","Mean   : 0.0000  ","Mean   : 0.0000  ","Mean   : 0.00000  ","Mean   : 0.00000  "
"","3rd Qu.: 1.0181  ","3rd Qu.: 1.4382  ","3rd Qu.: 0.81186  ","3rd Qu.: 0.44522  "
"","Max.   : 5.8127  ","Max.   : 2.4544  ","Max.   : 2.07079  ","Max.   : 1.86460  "
