ID,LabID,LongID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Total,SiO2_n,TiO2_n,Al2O3_n,FeO_n,MnO_n,MgO_n,CaO_n,Na2O_n,K2O_n,P2O5_n,SO2_n,Cl_n,Total_n,Type,TAS_Class,Group,Eruption_ID,Magma,Volcano
SAM-1,A1-1,SAM-1_A1-1_A1_Aguillera,75.81,0.21,14.15,1.09,0.03,0.19,1.23,3.12,4.17,0,0,0,100,75.81,0.21,14.15,1.09,0.03,0.19,1.23,3.12,4.17,0,0,0,100,Acid,Rhyolite,SAM,A1,0,Aguillera
SAM-2,A1-2,SAM-2_A1-2_A1_Aguillera,75.54,0.19,14.41,1.11,0.03,0.18,1.19,3.24,4.11,0,0,0,100,75.54,0.19,14.41,1.11,0.03,0.18,1.19,3.24,4.11,0,0,0,100,Acid,Rhyolite,SAM,A1,0,Aguillera
SAM-3,A1-3,SAM-3_A1-3_A1_Aguillera,77.45901639,0.143442623,12.56147541,0.993852459,0.030737705,0.174180328,1.075819672,3.452868852,4.108606557,0,0,0,100,77.45901639,0.143442623,12.56147541,0.993852459,0.030737705,0.174180328,1.075819672,3.452868852,4.108606557,0,0,0,100,Acid,Rhyolite,SAM,A1,0,Aguillera
SAM-4,A1-4,SAM-4_A1-4_A1_Aguillera,75.41032528,0.16910375,14.453397,1.054411618,0.039789118,0.17905103,1.153884413,3.342285885,4.1977519149999996,0,0,0,100,75.41032528,0.16910375,14.453397,1.054411618,0.039789118,0.17905103,1.153884413,3.342285885,4.1977519149999996,0,0,0,100,Acid,Rhyolite,SAM,A1,0,Aguillera
SAM-5,A1-5,SAM-5_A1-5_A1_Aguillera,76.64959325,0.261122828,12.87536407,0.984232198,0.010043186,0.120518228,1.225268655,3.645676409,4.228181179,0,0,0,100,76.64959325,0.261122828,12.87536407,0.984232198,0.010043186,0.120518228,1.225268655,3.645676409,4.228181179,0,0,0,100,Acid,Rhyolite,SAM,A1,0,Aguillera
SAM-6,MB2-1,SAM-6_MB2-1_MB2_Burney,76.11,0.21,14.37,1.55,0.04,0.31,2.04,3.78,1.59,0,0,0,100,76.11,0.21,14.37,1.55,0.04,0.31,2.04,3.78,1.59,0,0,0,100,Acid,Rhyolite,SAM,MB2,0,Burney
SAM-7,MB2-2,SAM-7_MB2-2_MB2_Burney,76.11,0.31,14.61,1.43,0.04,0.31,1.97,3.76,1.41,0,0,0,99.95,76.14807404,0.310155078,14.61730865,1.430715358,0.04002001,0.310155078,1.970985493,3.76188094,1.410705353,0,0,0,100,Acid,Rhyolite,SAM,MB2,0,Burney
SAM-8,MB2-3,SAM-8_MB2-3_MB2_Burney,75.74,0.27,14.69,1.67,0.04,0.37,2.03,3.67,1.52,0,0,0,100,75.74,0.27,14.69,1.67,0.04,0.37,2.03,3.67,1.52,0,0,0,100,Acid,Rhyolite,SAM,MB2,0,Burney
SAM-9,MB2-4,SAM-9_MB2-4_MB2_Burney,76.26,0.34,13.64,1.45,0.04,0.29,2.32,4.17,1.51,0,0,0,100.02,76.24475105,0.339932014,13.63727255,1.449710058,0.039992002,0.289942012,2.319536093,4.169166167,1.50969806,0,0,0,100,Acid,Rhyolite,SAM,MB2,0,Burney
SAM-10,MB2-5,SAM-10_MB2-5_MB2_Burney,75.29,0.41,14.72,1.57,0.04,0.42,2.29,3.97,1.29,0,0,0,100,75.29,0.41,14.72,1.57,0.04,0.42,2.29,3.97,1.29,0,0,0,100,Acid,Rhyolite,SAM,MB2,0,Burney
