"","ID","LongID","SiO2_n","TiO2_n","Al2O3_n","FeO_n","MnO_n","MgO_n","CaO_n","Na2O_n","K2O_n","Total_n","Type","Group","Eruption_ID","Volcano"
"280","SAM-644","SAM-644_PZ1_R1-RioTurbo_4_R1_Reclus",8.78362112115499,0.320936130717624,3.60402552710161,1.0770329614269,0.134164078649987,0.463680924774785,1.25976188226188,1.98871818013513,1.60405735558302,100,"Acid","SAM","R1","Reclus"
"281","SAM-645","SAM-645_PZ1_R1-RioTurbo_7_R1_Reclus",8.76053651325077,0.350713558335004,3.60222153677422,1.07098085883922,0,0.462601340248815,1.19958326097024,2.0811054754625,1.67809415707224,100,"Acid","SAM","R1","Reclus"
"282","SAM-646","SAM-646_PZ1_R1-RioTurbo_8_R1_Reclus",8.77011972552257,0.374165738677394,3.6023603373344,1.04355162785557,0.0836660026534076,0.452769256906871,1.19707978013163,2.04865809738961,1.67092788593643,100,"Acid","SAM","R1","Reclus"
"283","SAM-647","SAM-647_PZ1_R1-RioTurbo_13_R1_Reclus",8.73836369121817,0.386005181312376,3.67314579073578,1.07610408418517,0.256904651573303,0.452769256906871,1.18363845831402,2.05669638012031,1.65045448286222,100,"Acid","SAM","R1","Reclus"
"284","SAM-649","SAM-649_PZ1_R1-RioTurbo_15_R1_Reclus",8.7713168908665,0.303315017762062,3.61303196775229,1.06817601545813,0,0.453872228716409,1.17770964163498,2.06591384137868,1.64012194668567,100,"Acid","SAM","R1","Reclus"
"285","SAM-650","SAM-650_PZ1_R1-RioTurbo_19_R1_Reclus",8.76139258337395,0.353553390593274,3.61704299117387,1.10045445157898,0.148323969741913,0.412310562561766,1.1933147112141,2.05815451315007,1.65620047095755,100,"Acid","SAM","R1","Reclus"
"286","SAM-651","SAM-651_PZ1_R1-RioTurbo_20_R1_Reclus",8.77285586340047,0.304959013639538,3.61137093082392,1.01538170162752,0.268328157299975,0.42190046219458,1.1827933040054,2.06082507748717,1.66252819524963,100,"Acid","SAM","R1","Reclus"
"287","SAM-652","SAM-652_PZ1_R1-RioTurbo_21_R1_Reclus",8.71579026824304,0.330151480384384,3.69418461910068,1.06442472725881,0.301662062579967,0.474341649025257,1.20706255016051,2.07749849578766,1.67391756069407,100,"Acid","SAM","R1","Reclus"
"288","SAM-653","SAM-653_PZ1_R1-RioTurbo_22_R1_Reclus",8.77889514688494,0.356370593624109,3.58106129520286,1.10363037290571,0.273861278752583,0.461519230368573,1.21078486941322,2.03125576922258,1.62141913150178,100,"Acid","SAM","R1","Reclus"
"289","SAM-654","SAM-654_PZ1_R1-RioTurbo_23_R1_Reclus",8.71533131900331,0.404969134626332,3.7109298026236,1.03826778819339,0.202484567313166,0.441588043316392,1.20498962651137,2.06228029132802,1.686119805945,100,"Acid","SAM","R1","Reclus"
"290","SAM-655","SAM-655_PZ1_R1-RioTurbo_24_R1_Reclus",8.74162456297455,0.289827534923789,3.62063530336873,1.06583300755794,0.236643191323985,0.435889894354067,1.25339538853468,2.10047613649858,1.65801085641802,100,"Acid","SAM","R1","Reclus"
"291","SAM-656","SAM-656_PZ1_R1-RioTurbo_25_R1_Reclus",8.7840765023991,0.353553390593274,3.59986110843182,1.03489129863962,0.298328677803526,0.433589667773576,1.16447413024077,2.01196421439349,1.68285471743701,100,"Acid","SAM","R1","Reclus"
"292","SAM-657","SAM-657_PZ1_R1-RioTurbo_27_R1_Reclus",8.77257088885579,0.375499667110372,3.59499652294686,1.10136279218067,0.288097205817759,0.415932686861708,1.14017542509914,2.05596692580401,1.6583123951777,100,"Acid","SAM","R1","Reclus"
"293","SAM-658","SAM-658_PZ1_R1-RioTurbo_29_R1_Reclus",8.75631200905952,0.359165699921359,3.61607522045657,1.05782796332863,0.275680975041804,0.477493455452533,1.23450394896088,2.06179533416874,1.63064404454191,100,"Acid","SAM","R1","Reclus"
"294","SAM-659","SAM-659_PZ1_R1-RioTurbo_30_R1_Reclus",8.77336879425458,0.364691650576209,3.63001377407855,1.02029407525478,0.234520787991171,0.502991053598372,1.22433655503705,2.00199900099875,1.62080227048212,100,"Acid","SAM","R1","Reclus"
"295","SAM-660","SAM-660_PZ1_R1-RioTurbo_31_R1_Reclus",8.75939495627409,0.357770876399966,3.61095555220498,1.07610408418517,0.35213633723318,0.449444101084885,1.15974135047432,2.06881608655772,1.67002993985138,100,"Acid","SAM","R1","Reclus"
"296","SAM-661","SAM-661_PZ1_R1-RioTurbo_32_R1_Reclus",8.76321858679789,0.396232255123179,3.62367217060263,1.1287160847618,0.154919333848297,0.457165178026498,1.20706255016051,2.01047258126044,1.61864140562386,100,"Acid","SAM","R1","Reclus"
"297","SAM-662","SAM-662_PZ1_R1-90_06_1_R1_Reclus",8.76937854126505,0.248997991959775,3.61164782336263,1.10181668166715,0.1,0.458257569495584,1.24498995979887,2.0591260281974,1.58650559406515,100,"Acid","SAM","R1","Reclus"
"298","SAM-664","SAM-664_PZ1_R1-90_06_4_R1_Reclus",8.7501428559767,0.363318042491699,3.62243012354966,1.1202678251204,0.286356421265527,0.475394572960188,1.23895116933639,2.02632672587616,1.64103625797848,100,"Acid","SAM","R1","Reclus"
"299","SAM-666","SAM-666_PZ1_R1-90_06_11_R1_Reclus",8.76595687874404,0.330151480384384,3.60124978306143,1.09726933794762,0.260768096208106,0.448330235429198,1.21778487426967,2.04303695512343,1.63033738839542,100,"Acid","SAM","R1","Reclus"
"300","SAM-668","SAM-668_PZ1_R1-90_06_18_R1_Reclus",8.77912296302996,0.3286335345031,3.59708215085505,1.05118980208143,0.148323969741913,0.484767985741633,1.24819870213039,2.04499388752143,1.59436507738974,100,"Acid","SAM","R1","Reclus"
"301","SAM-669","SAM-669_PZ1_R1-90_06_19_R1_Reclus",8.76829515926557,0.388587184554509,3.60305425993004,1.10950439386241,0.0447213595499958,0.432434966208793,1.22515305166334,2.03248616231452,1.65801085641802,100,"Acid","SAM","R1","Reclus"
"302","SAM-670","SAM-670_PZ1_R1-90_06_20_R1_Reclus",8.78020500899609,0.333166624979154,3.60069437747777,1.13225438837745,0.212132034355964,0.431277173056957,1.25339538853468,1.97914122790669,1.61338154197945,100,"Acid","SAM","R1","Reclus"
