ID,LabID,LongID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Total,SiO2_n,TiO2_n,Al2O3_n,FeO_n,MnO_n,MgO_n,CaO_n,Na2O_n,K2O_n,P2O5_n,SO2_n,Cl_n,Total_n,Type,TAS_Class,Group,Eruption_ID,Magma,Volcano
SAM-233,POLP1_80-85-64,SAM-233_POLP1_80-85-64_UK_Solipuli,50.5904,2.0232,13.3515,12.1166,0.2004,6.902,7.4762,3.7815,1.2145,0,0,0,97.6563,51.80454308,2.071755739,13.671929,12.40739205,0.205209495,7.067644381,7.65562488,3.872254017,1.243647363,0,0,0,100,Basic,Trachybasallt,SAM,So_UK,0,Solipuli
ANT-13,A18,ANT-13_A18_Buckle_Buckle,47.52,2.38,16.79,11,0.18,5.77,8.6,4.88,1.98,0,0,0,99.1,47.95156408,2.401614531,16.94248234,11.09989909,0.181634712,5.822401615,8.678102926,4.92431887,1.997981837,0,0,0,100,Basic,Basanite,ANT,Buckle_ANT_Buckle,0,Buckle
NAP-5,A1,NAP-5_A1_Penguin Is_PI,49.02,1.08,15.81,9.95,0.18,8.95,10.08,3.95,0.48,0,0,0,99.5,49.26633166,1.085427136,15.88944724,10,0.180904523,8.994974874,10.13065327,3.969849246,0.48241206,0,0,0,100,Basic,Basalt,NAP,PI_NAP_Penguin Is,0,PI
NAP-6,A2,NAP-6_A2_Penguin Is_PI,49.25,1.22,15.34,10.39,0.18,8.84,10.46,3.7,0.47,0,0,0,99.85,49.32398598,1.221832749,15.36304457,10.40560841,0.180270406,8.85327992,10.47571357,3.705558338,0.470706059,0,0,0,100,Basic,Basalt,NAP,PI_NAP_Penguin Is,0,PI
NAP-7,A3,NAP-7_A3_Penguin Is_PI,49.3,1.22,16.58,9.62,0.18,7.74,10.03,4.13,0.58,0,0,0,99.38,49.60756691,1.227611189,16.68343731,9.6800161,0.181122962,7.788287382,10.09257396,4.155765748,0.583618434,0,0,0,100,Basic,Basalt,NAP,PI_NAP_Penguin Is,0,PI
NAP-8,A4,NAP-8_A4_Penguin Is_PI,49.57,1.19,16.64,9.54,0.17,7.79,10.15,4.18,0.6,0,0,0,99.83,49.6544125,1.192026445,16.66833617,9.556245618,0.170289492,7.803265551,10.16728438,4.187118101,0.601021737,0,0,0,100,Basic,Basalt,NAP,PI_NAP_Penguin Is,0,PI
NAP-9,A5,NAP-9_A5_Penguin Is_PI,49.28,1.26,17.23,9.81,0.18,6.78,9.71,4.3,0.6,0,0,0,99.15,49.702471,1.270801815,17.37771054,9.894099849,0.181543116,6.838124054,9.793242562,4.336863338,0.605143722,0,0,0,100,Basic,Basalt,NAP,PI_NAP_Penguin Is,0,PI
NAP-25,PC079/2/149-16,NAP-25_PC079/2/149-16_UK_Deception,52.17,2.29,17.14,10.6,0.2,4.68,8.45,4.85,0.44,0,0,0,100.82,51.74568538,2.271374727,17.00059512,10.51378695,0.198373339,4.641936124,8.381273557,4.810553462,0.436421345,0,0,0,100,Basic,Basaltic Trachyandesite,NAP,DI_NAP_UK,0,Deception
NAP-36,PC079/2/149-27,NAP-36_PC079/2/149-27_UK_Deception,51.23,3,14.47,14.4,0.23,4.16,8.75,4.05,0.51,0,0,0,100.8,50.8234127,2.976190476,14.35515873,14.28571429,0.228174603,4.126984127,8.680555556,4.017857143,0.505952381,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
NAP-77,GC027/2/4-30,NAP-77_GC027/2/4-30_UK_Deception,50.38,1.94,15.9,8.78,0.17,5.65,10.07,4.03,0.46,0,0,0,97.38,51.7354693,1.992195523,16.32778805,9.016225098,0.174573834,5.802012734,10.34093243,4.138426782,0.472376258,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
NAP-78,GC027/2/4-31,NAP-78_GC027/2/4-31_UK_Deception,50.26,1.96,15.83,9.29,0.17,5.37,9.3,4.54,0.42,0,0,0,97.14,51.73975705,2.017706403,16.29606753,9.563516574,0.175005147,5.528103768,9.573810994,4.673666873,0.432365658,0,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_UK,0,Deception
NAP-79,GC027/2/4-32,NAP-79_GC027/2/4-32_UK_Deception,50.04,1.87,15.6,9.29,0.19,5.96,9.97,3.79,0.38,0,0,0,97.09,51.53980843,1.926047997,16.06756618,9.568441652,0.195694716,6.138634257,10.26882274,3.903594603,0.391389432,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
NAP-100,GC037/1/82-20,NAP-100_GC037/1/82-20_UK_Deception,51.56,2.1,16.05,9.82,0.1,4.53,10.52,4.24,0.41,0,0,0,99.33,51.90778214,2.114164905,16.158260339999998,9.886237793,0.100674519,4.560555723,10.59095943,4.268599617,0.412765529,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
