depth_cm,unit,min_Sh20_age_BP,max_Sh20_age_BP,median_Sh20_age_BP,mean_Sh20_age_BP,Si_pc_TSN,K_pc_TSN,Ca_pc_TSN,Ti_pc_TSN,Mn_pc_TSN,Fe_pc_TSN,Zn_pc_TSN,Br_pc_TSN,Rb_pc_TSN,Sr_pc_TSN,Zr_pc_TSN,Mo_inc_pc_TSN,Mo_coh_pc_TSN,SUM_pc_TSN,Mo_inc_coh_ratio
8.4,9,387.5,672.85,556.06,548.5,0.1,0.126,2.874,1.655,1.628,76.584,0.105,0.033,0.032,1.507,0.358,10.224,3.271,98.5,3.125897294
8.42,9,390.77,678.5,560.73,553.11,0.07,0.14,3.009,1.521,1.838,76.478,0.08,0.082,0.167,1.427,0.435,10.196,3.183,98.624,3.203041397
8.44,9,394.04,684.14,565.4,557.72,0.07,0.158,2.901,1.712,2.047,76.779,0.051,0.089,0.067,1.404,0.346,9.79,3.097,98.51,3.160883281
8.46,9,397.31,689.79,570.06,562.33,0.12,0.128,2.708,1.596,2.328,76.695,0.039,0.112,0.047,1.359,0.418,9.812,3.153,98.516,3.112321878
8.48,9,400.58,695.43,574.73,566.94,0.07,0.148,2.73,1.629,2.198,76.355,0.077,0.017,0.026,1.356,0.347,10.37,3.333,98.659,3.111409396
8.5,9,403.85,701.07,579.4,571.56,0.1,0.134,3.031,1.659,2.28,75.909,0.113,0.071,0,1.426,0.312,10.056,3.288,98.376,3.058161866
8.52,9,407.12,706.72,584.07,576.17,0.11,0.13,3.011,1.638,2.031,76.257,0.099,0.088,0.055,1.394,0.411,10.098,3.173,98.496,3.182599058
8.54,9,410.38,712.36,588.74,580.78,0.1,0.146,3.005,1.602,2.115,75.982,0.077,0.111,0.096,1.461,0.409,10.156,3.155,98.415,3.219293326
8.56,9,413.65,718.01,593.41,585.39,0.09,0.126,2.967,1.67,2.118,76.293,0.04,0.065,0.021,1.527,0.422,10.263,3.276,98.875,3.132650381
8.58,9,416.92,723.65,598.07,590,0.12,0.137,3.023,1.597,2.191,75.743,0.082,0.119,0,1.516,0.285,10.425,3.231,98.465,3.22716249
8.6,9,420.19,729.3,602.74,594.61,0.11,0.137,2.93,1.699,2.088,75.854,0.043,0.125,0.066,1.54,0.388,10.226,3.344,98.55,3.057865731
8.62,9,423.46,734.94,607.41,599.22,0.1,0.15,2.94,1.667,1.747,76.738,0.084,0.102,0.042,1.426,0.28,10.161,3.151,98.584,3.224872688
8.64,9,426.73,740.58,612.08,603.83,0.1,0.13,3.01,1.79,1.527,76.739,0.117,0.011,0.098,1.363,0.363,10.105,3.105,98.457,3.254559873
8.66,9,430,746.23,616.75,608.44,0.11,0.146,3.059,1.659,1.536,77.31,0.074,0.124,0.004,1.323,0.355,10.097,3.076,98.87,3.28219697
8.68,9,433.27,751.87,621.42,613.05,0.07,0.166,3.118,1.668,1.457,76.72,0.06,0.111,0.091,1.423,0.29,10.39,3.157,98.721,3.291323959
8.7,9,436.53,757.52,626.09,617.66,0.08,0.13,2.969,1.749,1.449,76.023,0.133,0.145,0.041,1.428,0.384,10.872,3.114,98.521,3.491717283
8.72,9,439.8,763.16,630.75,622.27,0.09,0.136,3.116,1.7,1.492,75.741,0.052,0.097,0.048,1.405,0.341,11.246,3.269,98.731,3.440463362
8.74,9,443.07,768.81,635.42,626.88,0.1,0.133,3.102,1.759,1.439,76.016,0.039,0.067,0.084,1.553,0.23,10.975,3.38,98.875,3.247046739
8.76,9,446.34,774.45,640.09,631.49,0.09,0.143,3.067,1.722,1.334,75.876,0.111,0.057,0.06,1.475,0.39,11.053,3.248,98.63,3.402906209
8.78,9,449.61,780.1,644.76,636.1,0.07,0.13,3.247,1.768,1.27,75.465,0.102,0.075,0.043,1.597,0.34,11.019,3.307,98.44,3.331759769
8.8,9,452.88,785.74,649.43,640.71,0.11,0.142,3.211,1.768,1.466,75.216,0.101,0.088,0.047,1.516,0.357,11.246,3.366,98.634,3.341336117
8.82,9,456.15,791.38,654.1,645.32,0.09,0.144,3.147,1.732,1.348,75.523,0.082,0.141,0.169,1.46,0.407,11.063,3.412,98.721,3.242369838
8.84,9,459.42,797.03,658.76,649.93,0.13,0.149,3.072,1.747,1.315,75.137,0.047,0.076,0.06,1.504,0.352,11.478,3.458,98.522,3.319632372
8.86,9,462.68,802.67,663.43,654.55,0.1,0.149,3.195,1.787,1.335,74.67,0.11,0.072,0.062,1.557,0.422,11.638,3.551,98.647,3.277734878
8.88,9,465.95,808.32,668.1,659.16,0.1,0.154,2.995,1.835,1.334,73.901,0.129,0.11,0,1.596,0.349,12.073,3.613,98.188,3.341983556
8.9,9,469.22,813.96,672.75,663.77,0.11,0.142,3.14,1.68,1.327,74.253,0.167,0.064,0,1.676,0.38,12.115,3.562,98.614,3.400797872
8.92,9,472.49,819.61,677.37,668.38,0.12,0.151,3.045,1.805,1.373,73.792,0.119,0.028,0,1.699,0.347,12.349,3.671,98.502,3.363942059
8.94,9,475.76,825.25,682.03,672.99,0.11,0.131,3.145,1.835,1.473,73.697,0.146,0.076,0.048,1.501,0.441,12.323,3.54,98.461,3.480831533
8.96,9,479.03,830.89,686.7,677.6,0.12,0.163,3.121,1.743,1.461,73.897,0.039,0.076,0.176,1.642,0.373,12.019,3.751,98.578,3.203900272
8.98,9,482.3,836.54,691.37,682.21,0.09,0.126,3.018,1.767,1.42,74.816,0.157,0,0,1.523,0.36,11.847,3.433,98.555,3.450520139
