depth_cm,unit,min_Sh20_age_BP,max_Sh20_age_BP,median_Sh20_age_BP,mean_Sh20_age_BP,Si_pc_TSN,K_pc_TSN,Ca_pc_TSN,Ti_pc_TSN,Mn_pc_TSN,Fe_pc_TSN,Zn_pc_TSN,Br_pc_TSN,Rb_pc_TSN,Sr_pc_TSN,Zr_pc_TSN,Mo_inc_pc_TSN,Mo_coh_pc_TSN,SUM_pc_TSN,Mo_inc_coh_ratio
11.98,T1a,672.83,899.4,768.62,774.96,0.09,0.147,3.094,1.74,1.36,72.586,0.086,0.095,0.03,1.875,0.337,12.808,3.995,98.246,3.206272618
12,T1a,672.83,899.4,768.62,774.96,0.1,0.135,3.06,1.766,1.396,73.156,0.038,0.024,0.077,1.822,0.512,12.669,3.714,98.469,3.411236532
12.02,8,672.83,899.4,768.62,774.96,0.09,0.152,2.993,1.696,1.115,71.83,0.177,0.084,0.092,1.876,0.516,13.383,3.985,97.994,3.358085002
12.04,8,672.83,899.4,768.62,774.96,0.13,0.188,2.856,1.798,1.409,71.83,0.128,0.081,0.118,1.732,0.445,13.531,3.869,98.11,3.497185261
12.06,8,672.83,899.4,768.62,774.96,0.12,0.136,2.827,1.656,1.445,70.993,0.176,0.08,0.148,1.86,0.49,14.13,4.028,98.089,3.508298241
12.08,8,672.83,899.4,768.62,774.96,0.08,0.13,2.833,1.607,1.28,71.84,0.078,0.042,0.147,1.769,0.421,13.681,4.134,98.038,3.309255632
12.1,8,672.83,899.4,768.62,774.96,0.1,0.148,2.846,1.594,1.239,71.329,0.085,0.161,0.151,1.921,0.344,13.98,4.268,98.166,3.275214082
12.12,8,674.55,901.02,769.9,776.14,0.11,0.169,2.719,1.668,1.037,71.336,0.133,0.089,0,1.801,0.269,14.513,4.211,98.056,3.446718243
12.14,8,676.33,901.91,770.89,777.31,0.08,0.133,2.673,1.629,1.12,70.266,0.141,0.087,0.069,2.119,0.465,14.954,4.39,98.125,3.40656628
12.16,8,678.18,902.82,771.99,778.49,0.09,0.165,2.783,1.774,1.218,69.552,0.112,0.113,0.077,1.993,0.53,15.387,4.391,98.185,3.504360827
12.18,8,680.09,904.51,773,779.66,0.06,0.112,2.753,1.553,1.336,69.004,0.14,0.154,0,2.1,0.474,15.86,4.516,98.066,3.511803114
12.2,8,682.01,905.91,774.03,780.84,0.11,0.137,2.756,1.606,1.158,69.443,0.085,0.185,0.077,2.008,0.389,15.706,4.531,98.187,3.466317365
12.22,8,683.43,907.66,775.45,782.01,0.07,0.17,2.779,1.647,1.013,70.114,0.127,0.101,0.097,1.818,0.464,15.497,4.456,98.354,3.477766549
12.24,8,684.75,908.79,776.48,783.19,0.12,0.149,2.771,1.661,0.881,69.135,0.1,0.151,0.062,1.986,0.499,16.013,4.682,98.212,3.419970986
12.26,8,685.74,910.15,777.34,784.36,0.09,0.136,2.626,1.599,1.029,68.581,0.173,0.112,0.066,2.188,0.488,16.445,4.469,98.004,3.680030644
12.28,8,686.91,911.66,778.23,785.54,0.09,0.184,2.574,1.612,1.143,68.693,0.064,0.157,0.1,2.129,0.49,16.316,4.557,98.109,3.580290145
12.3,8,688.09,912.9,779.2,786.71,0.05,0.191,2.507,1.587,0.904,68.516,0.089,0.032,0,2.21,0.381,16.939,4.723,98.131,3.586918677
12.32,8,689.04,914.66,780.2,787.89,0.08,0.178,2.578,1.5,1.009,68.137,0.087,0.128,0,2.235,0.514,16.885,4.822,98.146,3.501610905
12.34,8,690.93,915.44,781.58,789.07,0.11,0.165,2.584,1.472,0.989,68.054,0.101,0.068,0.134,2.13,0.416,16.817,4.775,97.814,3.521706773
12.36,8,691.56,917.32,782.98,790.24,0.1,0.136,2.74,1.514,1.005,69.19,0.15,0.164,0.1,1.975,0.328,16.188,4.269,97.86,3.792041078
12.38,8,692.42,918.48,783.75,791.42,0.1,0.15,2.739,1.605,0.996,68.774,0.145,0.17,0.059,2.009,0.541,15.805,4.674,97.77,3.38176306
12.4,8,693.69,920.26,784.98,792.59,0.11,0.163,2.701,1.642,1.046,69.435,0.048,0.198,0.009,2.111,0.457,15.853,4.499,98.271,3.523595506
12.42,8,694.33,921.19,785.97,793.77,0.1,0.158,2.934,1.551,1.113,69.606,0.075,0.118,0.036,2.022,0.51,15.716,4.415,98.358,3.559578839
12.44,8,695.75,923.04,787.16,794.94,0.12,0.154,3.123,1.6,1.149,69.086,0.171,0,0.061,2.097,0.465,15.671,4.577,98.275,3.423897237
12.46,8,696.62,925.65,788.42,796.12,0.14,0.138,2.898,1.525,1.028,67.847,0.108,0,0.098,2.206,0.566,16.757,4.679,97.987,3.581733264
12.48,8,697.46,927.44,789.52,797.29,0.08,0.119,2.718,1.683,1.053,67.915,0.093,0.139,0,2.154,0.395,16.829,4.528,97.709,3.716971279
12.5,8,698.53,929.14,790.65,798.47,0.11,0.177,2.876,1.634,1.157,68.252,0.155,0.039,0.043,2.119,0.506,16.164,4.536,97.764,3.563438633
12.52,8,699.72,930.8,791.64,799.64,0.11,0.173,2.771,1.542,1.145,68.439,0.126,0.174,0,2.046,0.527,16.369,4.526,97.945,3.616735537
12.54,8,700.8,931.68,792.71,800.82,0.1,0.16,2.794,1.61,1.016,69.104,0.07,0.136,0.034,2.145,0.467,15.768,4.42,97.825,3.567160301
12.56,8,702.07,933.57,793.65,801.99,0.08,0.163,2.769,1.6,1.13,68.85,0.143,0.152,0.052,2.048,0.532,16.056,4.444,98.023,3.61341274
12.58,8,703.31,935.65,794.92,803.17,0.11,0.138,2.843,1.618,1.347,68.315,0.146,0.187,0,2.042,0.534,15.84,4.643,97.764,3.411480945
12.6,8,704.72,937.5,796.14,804.34,0.09,0.175,2.959,1.636,1.686,68.525,0.122,0.194,0.053,1.921,0.46,15.453,4.43,97.7,3.488127968
12.62,8,706.13,939.29,797.3,805.52,0.11,0.18,2.804,1.661,1.799,69.411,0.118,0.11,0.103,2.063,0.39,15.134,4.382,98.262,3.453781513
12.64,8,707.27,941.55,798.53,806.69,0.09,0.162,2.928,1.643,1.95,69.748,0.141,0.095,0.005,1.881,0.573,14.48,4.144,97.837,3.494117647
12.66,8,708.1,944.16,799.46,807.87,0.1,0.147,3.116,1.577,1.856,68.772,0.138,0.236,0.122,2.192,0.434,15.007,4.189,97.89,3.582606529
12.68,8,708.61,946.1,800.6,809.04,0.09,0.147,3.008,1.662,1.821,69.658,0.079,0.12,0.069,1.975,0.417,14.769,4.136,97.946,3.571136654
12.7,8,709.47,948.23,801.7,810.22,0.1,0.163,2.813,1.589,1.628,70.276,0.128,0.137,0,2.02,0.472,14.419,4.176,97.926,3.45297271
12.72,8,709.91,949.31,802.96,811.39,0.06,0.167,2.892,1.693,1.704,70.49,0.161,0.116,0.042,2.019,0.428,14.143,3.96,97.878,3.571574642
12.74,8,710.35,951.85,804.17,812.57,0.1,0.152,3.031,1.634,1.689,70.184,0.088,0.066,0.045,1.882,0.525,14.351,4.169,97.916,3.442575685
12.76,8,710.92,954.23,805.25,813.75,0.1,0.223,3.046,1.598,1.665,70.229,0.132,0.118,0.164,1.821,0.447,14.279,4.198,98.016,3.401563611
12.78,8,711.65,956.9,806.33,814.92,0.1,0.175,3.012,1.672,1.489,70.658,0.135,0.128,0.007,1.948,0.488,13.849,4.087,97.747,3.388604821
12.8,8,712.25,958.87,807.48,816.1,0.1,0.145,2.919,1.583,1.728,71.391,0.138,0.143,0.1,1.953,0.43,13.802,3.978,98.408,3.469543147
12.82,8,712.99,960.93,808.66,817.27,0.09,0.169,2.97,1.644,2.016,70.126,0.061,0.14,0.04,1.952,0.44,14.476,4.046,98.171,3.578000514
12.84,8,713.4,963.42,809.76,818.45,0.06,0.137,2.912,1.743,1.952,70.341,0.123,0.119,0,1.931,0.349,14.35,4.111,98.132,3.490477368
12.86,8,713.85,965.43,810.89,819.62,0.12,0.17,2.766,1.698,2.336,70.109,0.165,0.015,0.055,2.002,0.473,14.258,4.091,98.258,3.484665661
12.88,8,714.8,968.4,811.84,820.8,0.13,0.146,2.977,1.671,1.938,69.654,0.121,0.108,0.05,1.798,0.531,14.635,4.16,97.918,3.517563811
12.9,8,715.3,970.93,812.91,821.97,0.11,0.155,2.842,1.72,1.302,70.137,0.121,0.15,0,1.977,0.429,14.909,4.226,98.076,3.528070175
12.92,8,715.92,972.36,813.94,823.15,0.09,0.187,2.989,1.78,1.053,70.036,0.144,0.116,0.07,2.044,0.373,15.112,4.24,98.234,3.563753213
12.94,8,716.66,973.98,814.92,824.32,0.1,0.163,2.848,1.81,0.874,69.484,0.071,0.144,0.09,2.178,0.451,15.626,4.338,98.174,3.602005013
12.96,8,717.09,976.01,816.29,825.5,0.13,0.127,2.989,1.873,1,69.793,0.081,0.14,0.13,1.994,0.491,15.189,4.273,98.207,3.55476493
12.98,8,717.61,978.63,817.69,826.67,0.13,0.156,2.932,1.794,0.961,69.812,0.2,0.01,0.134,1.909,0.563,15.175,4.128,97.901,3.675885242
13,8,718.5,980.61,818.66,827.85,0.1,0.159,2.832,1.812,0.909,69.708,0.137,0.207,0,1.987,0.426,15.178,4.391,97.842,3.456890199
13.02,8,719.22,982.52,819.68,829.02,0.12,0.172,2.891,1.756,0.913,69.693,0.072,0.094,0.051,2.119,0.481,15.224,4.296,97.883,3.544191919
13.04,8,719.73,985.66,820.84,830.2,0.09,0.147,2.808,1.889,0.81,70.424,0.06,0.137,0,1.883,0.598,15.26,4.356,98.458,3.502985075
13.06,8,720.67,988.52,822.11,831.37,0.11,0.139,2.812,1.906,0.75,70.336,0.103,0.201,0.028,1.88,0.445,15.153,4.221,98.087,3.589717224
13.08,8,721.34,991.68,823.2,832.55,0.11,0.162,2.701,1.709,0.776,69.89,0.119,0.124,0.118,1.945,0.519,15.646,4.201,98.023,3.724146846
13.1,8,721.81,993.2,824,833.72,0.11,0.137,2.749,1.716,0.863,69.528,0.138,0.223,0.031,1.938,0.477,15.595,4.571,98.074,3.411679537
13.12,8,722.08,994.53,825.41,834.9,0.09,0.147,2.674,1.634,0.918,69.433,0.13,0.055,0.035,1.995,0.557,15.69,4.449,97.808,3.526302791
13.14,8,722.36,996.68,826.6,836.08,0.11,0.159,2.733,1.661,1.081,69.91,0.1,0.086,0.04,1.894,0.567,14.992,4.392,97.724,3.413613861
13.16,8,722.79,998.93,827.61,837.25,0.1,0.165,2.891,1.794,1.185,69.867,0.132,0.174,0.048,2.003,0.336,15.02,4.274,97.984,3.513902932
13.18,8,723.41,1001.77,828.61,838.43,0.08,0.162,2.822,1.815,1.171,70.503,0.114,0.251,0.017,1.958,0.542,14.88,4.244,98.559,3.506011768
13.2,8,723.84,1004.46,829.56,839.6,0.15,0.159,2.826,1.626,1.339,69.902,0.129,0.187,0.083,1.978,0.599,14.776,4.257,98.008,3.471241171
13.22,8,724.55,1007.13,830.55,840.78,0.1,0.153,2.81,1.656,1.376,70.614,0.083,0.099,0.059,2.085,0.401,14.556,4.304,98.298,3.382171879
13.24,8,725.29,1009.58,831.39,841.95,0.12,0.154,2.99,1.748,1.26,70.253,0.177,0.103,0.064,2.061,0.462,14.418,4.147,97.958,3.476470588
13.26,8,725.71,1011.95,832.23,843.13,0.1,0.175,2.928,1.723,1.001,71.561,0.074,0.089,0.061,1.84,0.429,14.024,3.997,97.998,3.508963367
13.28,8,726.45,1014.85,833.26,844.3,0.1,0.155,3.157,1.605,0.896,70.939,0.101,0.059,0.059,2.09,0.435,14.226,4.152,97.97,3.426084763
13.3,8,726.8,1018.08,834.17,845.48,0.11,0.158,3.07,1.569,0.768,71.038,0.118,0.073,0.075,1.86,0.335,14.491,4.308,97.977,3.363768467
13.32,8,727.09,1021.04,835.21,846.65,0.13,0.182,3.001,1.564,0.702,71.228,0.078,0.151,0.076,1.903,0.485,14.302,4.258,98.058,3.359055501
13.34,8,727.48,1023.96,836.26,847.83,0.1,0.162,2.976,1.601,0.718,71.999,0.062,0.085,0.059,1.989,0.314,13.91,4.239,98.214,3.281425433
13.36,8,728.14,1026.71,837.17,849,0.13,0.162,2.871,1.618,0.851,71.639,0.103,0,0.073,1.978,0.246,14.307,4.369,98.348,3.274988157
13.38,8,728.52,1029.53,838,850.18,0.14,0.153,2.9,1.524,0.851,71.454,0.086,0.094,0.055,1.921,0.393,14.382,4.192,98.143,3.431123073
13.4,8,729,1032.31,838.88,851.35,0.11,0.183,2.794,1.552,0.758,71.063,0.11,0.197,0.147,2.195,0.512,14.392,4.156,98.173,3.463299328
13.42,8,729.21,1035.04,839.91,852.53,0.11,0.182,2.873,1.607,0.786,71.266,0.12,0,0.086,2.098,0.489,14.43,4.186,98.228,3.446964155
13.44,8,729.33,1037.46,840.9,853.7,0.13,0.167,3.089,1.545,0.703,71.265,0.073,0.061,0.124,2.163,0.225,14.266,4.236,98.044,3.367619048
13.46,8,729.52,1040.32,842.01,854.88,0.12,0.17,2.934,1.571,0.727,71.022,0.164,0.054,0.043,1.999,0.532,14.461,4.188,97.988,3.452925596
13.48,8,729.78,1042.4,842.92,856.05,0.12,0.198,3.054,1.578,0.78,70.984,0.076,0.144,0.069,2.05,0.448,14.502,4.157,98.156,3.488779285
13.5,8,730.33,1045.35,843.86,857.23,0.13,0.161,3.072,1.533,0.933,70.915,0.158,0.104,0.093,2.05,0.41,14.438,4.119,98.115,3.505126282
13.52,8,730.89,1048.66,844.94,858.4,0.13,0.14,2.992,1.539,0.805,71.011,0.122,0.014,0.088,1.894,0.433,14.368,4.229,97.761,3.397463508
13.54,8,731.51,1051.81,846.15,859.58,0.12,0.147,2.999,1.535,0.915,71.264,0.119,0.16,0.019,2.016,0.491,14.083,4.124,97.995,3.41516772
13.56,8,732.16,1054.84,847.14,860.76,0.1,0.159,2.919,1.481,1.048,71.025,0.164,0.07,0.096,1.81,0.459,14.338,4.223,97.887,3.395130183
13.58,8,732.68,1057.58,847.97,861.93,0.08,0.141,3.019,1.496,1.443,70.648,0.133,0.055,0.083,1.957,0.431,14.491,4.284,98.26,3.38254874
13.6,8,733.15,1060.73,848.9,863.11,0.11,0.167,2.917,1.622,1.382,70.957,0.094,0.06,0.118,1.9,0.368,14.158,4.246,98.096,3.334353661
13.62,8,734.62,1061.47,850.12,864.07,0.06,0.137,2.729,1.525,1.106,71.795,0.121,0.101,0.035,1.849,0.481,14.146,4.148,98.233,3.410589651
13.64,8,735.3,1061.73,851.17,865.03,0.09,0.125,2.711,1.541,1.602,70.287,0.184,0.027,0.069,1.935,0.42,14.578,4.319,97.89,3.375270108
13.66,8,736.07,1062.06,851.87,866,0.11,0.133,2.779,1.495,1.421,70.821,0.078,0.124,0.063,1.966,0.391,14.859,4.015,98.261,3.700739567
13.68,8,736.97,1062.82,852.94,866.96,0.12,0.157,2.779,1.552,0.94,70.918,0.155,0.051,0.089,2.019,0.422,14.764,4.193,98.157,3.521047228
13.7,8,738.14,1063.59,854.1,867.92,0.11,0.171,2.713,1.532,1.072,70.502,0.109,0.185,0.023,2.103,0.493,14.863,4.447,98.321,3.342626559
13.72,8,738.97,1064.25,855.19,868.89,0.11,0.149,2.732,1.57,1.123,70.261,0.061,0.05,0,1.981,0.492,15.397,4.386,98.308,3.510427011
13.74,8,740.14,1064.84,856.42,869.85,0.1,0.151,2.61,1.526,0.989,71.033,0.091,0.116,0.055,1.887,0.39,14.987,4.144,98.076,3.616868089
13.76,8,741.54,1065.35,857.53,870.81,0.09,0.124,2.713,1.559,1.154,70.65,0.085,0.1,0.175,1.933,0.44,14.846,4.41,98.278,3.366166505
13.78,8,742.3,1066.12,858.51,871.78,0.12,0.154,2.661,1.467,1.069,70.262,0.133,0.054,0.013,2.114,0.477,15.24,4.343,98.112,3.509183673
13.8,8,743.19,1066.41,859.37,872.74,0.09,0.124,2.675,1.504,0.949,70.102,0.128,0.139,0.064,1.941,0.46,15.478,4.206,97.861,3.679668715
13.82,8,744.37,1066.89,860.2,873.7,0.08,0.151,2.617,1.346,0.858,70.63,0.127,0.06,0.036,2.112,0.469,14.974,4.206,97.669,3.559895833
13.84,8,745.3,1067.7,861.18,874.67,0.13,0.166,2.669,1.447,0.852,71.111,0.139,0.133,0.048,2.013,0.45,14.437,4.188,97.779,3.447490947
13.86,8,746.39,1067.96,862.03,875.63,0.13,0.14,2.837,1.695,0.808,70.732,0.089,0.108,0.128,2.059,0.542,14.432,4.271,97.968,3.379189595
13.88,8,747.34,1068.57,862.86,876.59,0.09,0.145,3.038,1.594,0.951,70.673,0.115,0.096,0,2.359,0.404,14.426,4.247,98.139,3.396434848
13.9,8,748.16,1069.69,863.74,877.56,0.11,0.148,2.911,1.691,0.916,70.932,0.16,0,0.044,2.659,0.351,14.129,4.155,98.206,3.400304028
13.92,8,749.05,1070.03,864.69,878.52,0.08,0.158,3.044,1.618,1.103,70.997,0.101,0.038,0.021,1.844,0.468,14.465,4.088,98.022,3.538735077
13.94,8,749.51,1070.38,865.52,879.48,0.14,0.171,3.199,1.736,1.193,72.066,0.147,0.09,0.056,1.867,0.459,13.429,3.791,98.344,3.542328042
13.96,8,750.69,1070.72,866.59,880.45,0.1,0.173,3.385,1.739,1.182,72.248,0.091,0.06,0,1.815,0.382,13.319,3.786,98.281,3.518343816
13.98,8,751.8,1071.07,867.85,881.41,0.13,0.152,3.211,1.739,1.261,72.036,0.094,0.064,0.08,1.807,0.419,13.17,3.937,98.097,3.344957351
14,8,752.7,1071.74,868.79,882.37,0.08,0.189,3.162,1.678,1.322,72.439,0.117,0.095,0.082,1.735,0.398,13.114,3.908,98.323,3.355286399
14.02,8,753.14,1072.49,869.68,883.34,0.1,0.145,3.233,1.774,1.27,72.475,0.115,0.102,0.126,1.899,0.419,12.806,3.799,98.264,3.371069182
14.04,8,753.86,1073.6,870.58,884.3,0.14,0.17,3.178,1.688,1.109,72.058,0.161,0.018,0.181,1.8,0.37,13.406,3.796,98.07,3.531290914
14.06,8,754.12,1075.16,871.7,885.26,0.09,0.172,3.254,1.711,1.017,72.23,0.106,0,0.092,1.775,0.52,13.271,3.818,98.054,3.476291391
14.08,8,754.48,1077.13,872.57,886.23,0.12,0.164,3.222,1.769,0.911,72.124,0.151,0.039,0.068,1.956,0.54,13.101,3.888,98.054,3.36959337
14.1,8,754.94,1079.1,873.56,887.19,0.11,0.157,2.936,1.699,1.028,72.598,0.122,0.107,0,1.78,0.447,13.386,3.87,98.245,3.459111228
14.12,8,755.62,1080.79,874.41,888.16,0.13,0.154,2.948,1.643,0.967,72.136,0.086,0.124,0.092,1.921,0.501,13.729,3.951,98.385,3.474456379
14.14,8,756.16,1081.09,875.58,889.12,0.11,0.155,2.926,1.631,0.898,72.617,0.12,0.116,0,1.761,0.419,13.66,4.055,98.465,3.368917197
14.16,8,756.65,1081.4,876.84,890.08,0.11,0.177,2.968,1.693,0.865,71.901,0.129,0.077,0.112,1.891,0.356,13.818,3.887,97.987,3.554907162
14.18,8,756.99,1081.7,877.64,891.05,0.09,0.152,2.785,1.695,0.826,72.656,0.116,0.036,0.034,1.898,0.308,13.777,3.887,98.257,3.544604701
14.2,8,757.69,1083.07,878.47,892.01,0.12,0.149,2.882,1.745,0.813,72.058,0.129,0.097,0.119,1.837,0.479,13.77,4.01,98.206,3.43389297
14.22,8,758.41,1084.36,879.7,892.97,0.1,0.172,2.975,1.508,0.83,71.506,0.144,0.094,0.089,2.059,0.173,14.038,4.236,97.924,3.313636364
14.24,8,758.91,1085.07,880.85,893.94,0.13,0.145,2.887,1.624,0.778,70.884,0.12,0.021,0.043,2.133,0.545,14.657,4.197,98.162,3.492580057
14.26,8,759.75,1085.71,881.92,894.9,0.11,0.168,2.768,1.569,1.025,71.401,0.074,0.092,0.118,1.757,0.55,14.052,4.227,97.911,3.324180015
14.28,8,760.43,1086.35,883,895.86,0.11,0.152,2.658,1.677,1.043,70.652,0.125,0.144,0,2.023,0.449,14.305,4.176,97.511,3.425341746
14.3,8,761.04,1086.98,884.33,896.83,0.1,0.145,2.661,1.563,0.94,71.297,0.134,0.034,0.09,2.088,0.444,14.246,4.121,97.858,3.457281032
14.32,8,761.77,1087.62,885.17,897.79,0.1,0.174,2.733,1.536,0.973,71.166,0.135,0.082,0.036,1.905,0.517,14.166,4.268,97.786,3.318717114
14.34,8,762.54,1088.2,886.25,898.75,0.08,0.161,2.887,1.5,0.929,71.202,0.126,0.132,0.042,1.876,0.572,14.247,4.211,97.97,3.383136853
14.36,8,763.21,1088.66,887.55,899.72,0.11,0.163,2.94,1.727,1.003,71.109,0.112,0.095,0,2.025,0.386,14.162,4.076,97.906,3.474382315
14.38,8,764.1,1089.36,888.57,900.68,0.1,0.127,2.774,1.574,1.329,72.021,0.04,0.055,0.136,1.924,0.494,13.943,3.994,98.51,3.491311216
14.4,8,764.9,1090.35,889.66,901.64,0.12,0.156,2.771,1.627,1.106,71.866,0.107,0.169,0.112,1.919,0.41,13.913,4.087,98.362,3.403964985
14.42,8,765.34,1091.9,890.67,902.61,0.07,0.148,2.839,1.606,0.957,72.187,0.129,0,0.104,1.896,0.591,13.649,3.928,98.104,3.474362416
14.44,8,765.87,1092.66,891.63,903.57,0.09,0.15,2.971,1.668,0.988,72.218,0.074,0.158,0.037,2.06,0.404,13.451,4.081,98.351,3.295683639
14.46,8,766.13,1094.01,892.23,904.53,0.11,0.161,3.035,1.615,0.878,72.452,0.086,0.032,0.038,1.985,0.42,13.193,4.063,98.063,3.246819338
14.48,8,766.25,1095.45,893.03,905.5,0.11,0.161,2.95,1.582,0.848,72.913,0.156,0.149,0.068,1.815,0.313,12.996,3.791,97.851,3.427856767
14.5,8,766.55,1097.2,893.84,906.46,0.1,0.126,2.885,1.683,1.093,73.066,0.111,0.043,0,1.852,0.459,12.63,4.006,98.053,3.152829718
14.52,8,766.99,1098.28,894.87,907.42,0.09,0.169,2.816,1.653,0.907,73.52,0.104,0.097,0.08,1.848,0.348,12.687,3.702,98.026,3.427327882
14.54,8,767.42,1099.44,895.88,908.39,0.11,0.124,2.814,1.75,0.95,73.204,0.136,0.132,0.065,1.866,0.441,12.966,3.8,98.353,3.412435233
14.56,8,767.85,1100.99,896.81,909.35,0.09,0.183,2.935,1.709,0.821,73.419,0.153,0,0.039,1.825,0.408,12.574,3.846,97.999,3.269240538
14.58,8,768.29,1102.5,897.98,910.31,0.11,0.179,2.931,1.702,0.849,73.004,0.087,0.057,0.027,1.876,0.502,12.947,3.885,98.156,3.332582019
14.6,8,768.81,1103.54,898.9,911.28,0.12,0.14,2.893,1.807,0.703,73.42,0.091,0.118,0.09,1.846,0.375,12.836,3.831,98.267,3.350539291
14.62,8,769.34,1104.93,900.2,912.24,0.1,0.155,2.798,1.698,0.653,73.6,0.056,0.037,0.058,1.89,0.42,12.974,3.756,98.198,3.454075032
14.64,8,769.94,1105.49,901.05,913.2,0.15,0.172,2.981,1.789,0.59,73.413,0.107,0.029,0.073,1.916,0.42,12.978,3.907,98.522,3.321338702
14.66,8,770.35,1106.77,902.14,914.17,0.12,0.148,2.955,1.772,0.585,72.588,0.143,0.107,0.129,1.959,0.446,13.212,3.822,97.988,3.456770833
14.68,8,770.56,1107.52,902.77,915.13,0.11,0.137,2.789,1.642,0.691,72.515,0.102,0.065,0,1.917,0.489,13.481,4.012,97.95,3.360517156
14.7,8,770.77,1108.56,903.82,916.1,0.11,0.147,2.729,1.683,0.634,72.867,0.108,0.03,0.112,2.001,0.458,13.355,4.017,98.254,3.324237162
14.72,8,771.11,1108.78,904.18,917.06,0.09,0.166,2.815,1.742,0.632,72.368,0.092,0.121,0.13,1.946,0.472,13.638,4.072,98.286,3.349575212
14.74,8,771.56,1109.25,905.13,918.02,0.09,0.144,2.851,1.693,0.613,72.344,0.098,0.117,0,1.944,0.551,13.502,3.901,97.844,3.460867334
14.76,8,772.13,1109.72,906.06,918.99,0.11,0.171,2.927,1.772,0.573,72.767,0.121,0.07,0.066,1.799,0.4,13.445,3.898,98.117,3.449406298
14.78,8,772.68,1110.9,907.09,919.95,0.12,0.16,2.704,1.783,0.555,72.885,0.122,0.02,0.112,1.902,0.396,13.362,3.978,98.094,3.359176411
14.8,8,773.1,1112.39,907.85,920.91,0.12,0.136,2.823,1.679,0.592,72.314,0.115,0.072,0.061,1.974,0.537,13.38,4.073,97.872,3.285251619
14.82,8,773.79,1113.25,908.71,921.88,0.09,0.128,2.801,1.659,0.597,72.943,0.105,0.128,0.005,1.964,0.454,13.4,3.873,98.152,3.459645409
14.84,8,774.41,1114.22,909.51,922.84,0.11,0.132,2.614,1.602,0.69,72.559,0.067,0.03,0.085,1.966,0.45,13.732,4.001,98.034,3.432300998
14.86,8,774.89,1115.56,910.48,923.8,0.09,0.148,2.697,1.644,0.65,72.874,0.109,0.076,0,1.852,0.458,13.666,3.959,98.219,3.452245741
14.88,8,775.38,1116.79,911.6,924.77,0.05,0.164,2.629,1.722,0.608,72.763,0.138,0.095,0.037,1.877,0.512,13.604,4.097,98.299,3.320688795
14.9,8,775.97,1118.23,912.67,925.73,0.08,0.166,2.64,1.566,0.534,72.581,0.119,0.104,0.035,1.691,0.532,13.96,4.187,98.191,3.333984852
14.92,8,776.38,1119.77,913.63,926.69,0.1,0.17,2.688,1.59,0.66,72.587,0.01,0.102,0.1,1.81,0.511,13.699,4.053,98.082,3.379510472
14.94,8,776.69,1121.58,914.48,927.66,0.1,0.154,2.687,1.619,0.653,72.962,0.14,0.047,0.026,2.027,0.321,13.352,3.947,98.037,3.382756867
14.96,8,776.99,1123.16,915.51,928.62,0.1,0.157,2.746,1.651,0.619,72.991,0.141,0.048,0.054,1.807,0.438,13.411,3.854,98.022,3.479989738
14.98,8,777.29,1124.63,916.24,929.58,0.09,0.159,2.776,1.501,0.607,72.95,0.074,0.136,0.067,1.908,0.432,13.123,4.055,97.873,3.236643084
15,8,777.78,1127.05,917.04,930.55,0.12,0.178,2.911,1.523,0.791,73.322,0.092,0.067,0.09,1.783,0.467,12.842,3.69,97.873,3.480546793
15.02,8,778.34,1128.76,917.95,931.51,0.12,0.146,2.862,1.619,0.725,72.896,0.204,0.063,0.14,1.847,0.406,12.894,4.026,97.952,3.202660965
15.04,8,778.99,1130.98,918.89,932.47,0.14,0.158,2.776,1.628,0.633,73.727,0.132,0.097,0.065,1.744,0.468,12.599,3.786,97.956,3.327839757
15.06,8,779.63,1132.34,919.52,933.44,0.13,0.189,2.787,1.535,0.745,73.559,0.145,0.108,0.087,1.807,0.311,13.185,3.644,98.232,3.618545838
15.08,8,780.21,1133.96,920.6,934.4,0.13,0.182,2.818,1.457,0.763,73.67,0.048,0.087,0.066,1.896,0.295,13.01,3.581,98.004,3.633493847
15.1,8,780.45,1135.43,921.49,935.36,0.12,0.175,2.865,1.511,0.783,74.225,0.107,0.078,0.046,1.786,0.34,12.404,3.696,98.135,3.355958153
15.12,8,780.71,1136.08,922.49,936.33,0.09,0.169,2.909,1.482,0.819,72.776,0.083,0.029,0.092,1.759,0.479,13.458,3.927,98.072,3.427216812
15.14,8,781.18,1138.19,923.24,937.29,0.12,0.153,2.779,1.535,0.752,72.113,0.104,0.093,0.147,1.919,0.337,13.918,4.059,98.026,3.429258416
15.16,8,781.46,1140.35,924.12,938.25,0.07,0.137,2.806,1.662,0.646,73.038,0.096,0.064,0.089,1.775,0.373,13.552,3.896,98.208,3.478374153
15.18,8,781.66,1142.22,925.16,939.22,0.08,0.146,2.717,1.604,0.687,73.472,0.097,0.091,0.124,1.858,0.387,13.184,3.802,98.246,3.467471144
15.2,8,781.85,1143.98,926.07,940.18,0.12,0.142,2.788,1.536,0.765,72.838,0.044,0.053,0.014,2.229,0.426,13.399,3.725,98.074,3.596941562
15.22,8,782.06,1145.47,926.93,941.14,0.13,0.181,2.873,1.497,0.675,72.904,0.131,0.013,0,1.958,0.349,13.343,4.074,98.128,3.274881517
