,,,,,,,,,Calibrated ages (a cal BP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID No.,Location Sample ID [sediment core depth],14C Lab ID,Latitude (°S),Longitude (°W),Altitude (m amsl),Material dated,𝛿13C (‰),AMS 14C age (14C a),Max.–Min.,1σ %,Max.–Min.,2σ %,Median,Mean ± 2σ,"Facies dated, context, interpretation",,OXCAL output - ,Oxcal input,AMS 14C yrs,±1s,Curve ,Unmodelled ,from,to,%,from,to,%,μ,σ,m,Modelled ,from,to,%,from,to,%,mu,sigma,median,Acomb,A,L,P,C,DR values,from,to,%,from,to,%,mu,sigma,median,Acomb,A,L,P,C,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ART-03A-2015,Beta-441409,"62° 10' 46.20""","58° 53' 58.34"" ",72,Terrestrial moss frag.,-22.7,1380 ± 30,1300–1260,37.9,1310–1170,95.4,1250,1240 ± 80,Moss in glaciofluvial sed. over 3–6; max. readvance age,,rounded to nearest 10 years Not in Final table to right ,1-ART-03A-2015,1380,30,SH20, R_Date 5-ART-Moss,1300,1260,37.9,1310,1170,95.4,1240,40,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1210–1180,30.4,–,–,,,,,,,,,,,1210,1180,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ART-03B-2015,Beta-441410,"62° 10' 46.20""","58° 53' 58.34"" ",72,Terrestrial moss frag.,-20.5,1380 ± 30,1300–1260,37.9,1310–1170,95.4,1250,1240 ± 80,Moss in glaciofluvial sed. over 3–6; max. readvance age,,,2-ART-03B-2015,1380,30,SH20, R_Date 6-ART-Moss,1300,1260,37.9,1310,1170,95.4,1240,40,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1210–1180,–,–,,,,,,,,,,,,1210,1180,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ART-01A-2015,Beta-441405,"62° 10' 46.20""","58° 53' 58.34""",72,Terrestrial moss frag.,-22.6,1980 ± 30,1890–1820,62.6,1930–1740,95.4,1850,1850 ± 100,Moss in glaciofluvial sediments; max. readvance age,,,3-ART-01A-2015,1980,30,SH20,R_Date 1-ART-Moss,1890,1820,62.6,1930,1740,95.4,1850,50,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1770–1750,5.7,–,–,,,,,,,,,,,1770,1750,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ART-01B-2015,Beta-441406,"62° 10' 46.20""","58° 53' 58.34""",72,Terrestrial moss frag.,-22.4,1950 ± 30,1870–1850,14.8,1890–1730,95.4,1810,1810 ± 100,Moss in glaciofluvial sediments; max. readvance age,,,4-ART-01B-2015,1950,30,SH20, R_Date 2-ART-Moss,1870,1850,14.8,1890,1730,95.4,1810,50,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1840–1740,53.5,–,–,,,,,,,,,,,1840,1740,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ART-01A-2015 bis,Beta-441407,"62° 10' 46.20""","58° 53' 58.34""",72,Terrestrial moss frag.,-19.6,1920 ± 30,1890–1820,58.0,1930–1740,95.4,1840,1830 ± 100,Moss in glaciofluvial sediments; max. readvance age,,,5-ART-01A-2015 bis,1920,30,SH20, R_Date 3-ART-Moss,1890,1820,58.0,1930,1740,95.4,1830,50,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1770–1750,10.3,–,–,,,,,,,,,,,1770,1750,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ART-01B-2015 bis,Beta-441408,"62° 10' 46.20""","58° 53' 58.34""",72,Terrestrial moss frag.,-16.8,1940 ± 30,2000–1920,60.0,2010–1870,95.4,1950,1940 ± 80,Moss in glaciofluvial sediments; max. readvance age,,,6-ART-01B-2015 bis,1940,30,SH20, R_Date 4-ART-Moss,2000,1920,60.0,2010,1870,95.4,1940,40,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1910–1890,824.2,–,–,,,,,,,,,,,1910,1890,824.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ART-08-ar-A-2015,Beta-441411,"62° 10' 54.52""","58° 51' 43.94""",16,Terrestrial moss frag.,-17.9,2030 ± 30,2010–1920,68.3,2050–2030,1.8,1960,1960 ± 80,Moss above till; max. glacial readvance age,,,7-ART-08-ar-A-2015,2030,30,SH20, R_Date 7-ART-Moss,2010,1920,68.3,2050,2030,1.8,1960,40,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,–,–,2020–1880,93.6,,,,,,,,,,,,,,2020,1880,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ART-08-ar-B-2015,Beta-441412,"62° 10' 54.52""","58° 51' 43.94""",16,Terrestrial moss frag.,-24.5,2050 ± 30,1820–1720,68.3,1840–1690,94.4,1770,1760 ± 80,Moss above till; max. glacial readvance age,,,8-ART-08-ar-B-2015,2050,30,SH20, R_Date 8-ART-Moss,1820,1720,68.3,1840,1690,94.4,1760,40,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,–,–,1650–1630,1.0,,,,,,,,,,,,,,1650,1630,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ART-08-ab-A-2015,Beta-441413,"62° 10' 54.52""","58° 51' 43.94""",16,Terrestrial moss frag.,-20.9,1870 ± 30,1830–1740,68.3,1880–1700,95.4,1790,1790 ± 80,Moss in till; max. glacial readvance age,,,9-ART-08-ab-A-2015,1870,30,SH20, R_Date 9-ART-Moss,1830,1740,68.3,1880,1700,95.4,1790,40,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ART-08-ab-B-2015,Beta-441414,"62° 10' 54.52""","58° 51' 43.94""",16,Terrestrial moss frag.,-28.6,1900 ± 30,2010–1920,68.3,2050–2030,1.8,1960,1960 ± 80,Moss in till; max. glacial readvance age,,,10-ART-08-ab-B-2015,1900,30,SH20, R_Date 10-ART-Moss,2010,1920,68.3,2050,2030,1.8,1960,40,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,–,–,2020–1880,93.6,,,,,,,,,,,,,,2020,1880,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ART-02-1A,Beta-441415,"62° 10' 56.07""","58° 53' 22.15""",7,Terrestrial moss frag.,-20.5,2050 ± 30,2000–1960,24.0,2000–1830,95.4,1920,1930 ± 80,"Moss in till, overlying 6-7 m amsl raised beach",,,11-ART-02-1A,2050,30,SH20, R_Date 11-ART-Moss,2000,1960,24.0,2000,1830,95.4,1930,40,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1940–1880,44.2,–,–,,,,,,,,,,,1940,1880,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ART-02-2A,Beta-441417,"62° 10' 56.07""","58° 53' 22.15""",7,Terrestrial moss frag.,-21.9,2010 ± 30,1930–1830,68.3,2000–1950,12.6,1890,1890 ± 100,"Moss in till, overlying 6-7 m amsl raised beach",,,12-ART-02-2A,2010,30,SH20, R_Date 12-ART-Moss,1930,1830,68.3,2000,1950,12.6,1890,50,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,–,–,1940–1820,81.6,,,,,,,,,,,,,,1940,1820,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,–,–,1770–1750,1.3,,,,,,,,,,,,,,1770,1750,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ART-02-2B,Beta-441418,"62° 10' 56.07""","58° 53' 22.15""",7,Terrestrial moss frag.,-23.7,1980 ± 30,1930–1830,68.3,2000–1750,95.4,1890,1890 ± 100,"Moss in till, overlying 6-7 m amsl raised beach",,,13-ART-02-2B,1980,30,SH20, R_Date 13-ART-Moss,1930,1830,68.3,2000,1750,95.4,1890,50,1890,,,,,,,,,,,,,,,,Unmodelled Delta_R LocalMarine,588,744,68.268949,513.5,818.5,95.449974,666,76,666,,,,,,
14,ART-07A-2015,ETH-69688,"62° 10' 51.73""","58° 51' 39.45""",18,Laternula sp.shell,-0.9,7045 ± 85,6790–6480,68.3,6940–6330,95.4,6630,6640 ± 300,Shell in fine sediments; max. glacial readvance age,,,14-ART-07A-2015,7045,85,MAR20,R_Date 14-ART-07A-2015,6790,6480,68.3,6940,6330,95.4,6640,150,6630,R_Date 14-ART-07A-2015,6740,6440,68.268949,6890,6300,95.449974,6600,150,6600,,99.5,,,99.4,Modelled DR Holocene ,626.5,772,68.268949,548,847.5,95.449974,698.782,73.4548,698.5,,97.4,,,99.4,
15,ART-07B-2015,ETH-69689,"62° 10' 51.73""","58° 51' 39.45""",18,Laternula sp.shell,4.0,6590 ± 70,6270–6000,68.3,6400–5880,95.4,6140,6140 ± 260,Shell in fine sediments; max. glacial readvance age,,,15-ART-07B-2015,6590,70,MAR20,R_Date 15-ART-07B-2015,6270,6000,68.3,6400,5880,95.4,6140,130,6140,R_Date 15-ART-07B-2015,6250,5980,68.268949,6380,5860,95.449974,6110,130,6110,,99.3,,,99.5,,,,,,,,,,,,,,,,
16,ART-07C-2015,ETH-69690,"62° 10' 51.73""","58° 51' 39.45""",18,Laternula sp.shell,0.0,6730 ± 75,6440–6160,68.3,6570–6000,95.4,6300,6290 ± 280,Shell in fine sediments; max. glacial readvance age,,,16-ART-07C-2015,6730,75,MAR20,R_Date 16-ART-07C-2015,6440,6160,68.3,6570,6000,95.4,6290,140,6300,R_Date 16-ART-07C-2015,6400,6120,68.268949,6530,5980,95.449974,6260,130,6260,,99.1,,,99.4,,,,,,,,,,,,,,,,
17,ART-09A-2015,ETH-69691,"62° 10' 50.59""","58° 51' 40.66""",27,Laternula sp.shell,-2.2,6265 ± 75,5920–5640,68.3,6090–5530,95.4,5790,5790 ± 280,Shell in till; max. glacial readvance age,,,17-ART-09A-2015,6265,75,MAR20,R_Date 17-ART-09A-2015,5920,5640,68.3,6090,5530,95.4,5790,140,5790,R_Date 17-ART-09A-2015,5890,5620,68.268949,6020,5470,95.449974,5760,130,5760,,99.6,,,99.6,,,,,,,,,,,,,,,,
