Core_Section,Sample_ID,Description,Folk_Ward_grain_size_definition,Folk_Ward_sorting_definition,Field_depth_cm,Depth_cm,min_calibrated_age_BP_cal_a_BP,max_calibrated_age_BP_cal_a_BP,median_calibrated_age_BP_cal_a_BP,mean_calibrated_age_BP_cal_a_BP,acc_rate_cm_yr-1,Sampling_date,2 ml_mass_g,2 ml_wet sediment_g,Wet_sediment_volume_cm-3,2 ml_freeze-dried_sediment_g,wet_mass_g,dry_mass_g,wet_density_gcm-3,dry_density_gcm-3,water_pc_pc,dry_mass_pc,core_thickness_cm,PWAmp,PWVel_ms-1,Wet_gamma_ray_density_SAT_gcm-3,MS_SIx10-5 ,χhf_Wet_Den_SAT_x10^-8_SI_m3kg-1,Impedance_SAT,Fractional_Porosity_SAT,RES_Ohm.m,WMAR_gcm-2yr-1,DMAR_gcm-2yr-1
KITE2.1,KITE_M1,Aquatic moss,NA,NA,bagged,0,-12.09,-5.96,-8.01,-8.27,2,13/08/2018,1.09789,1.1175,0.05,1.1012,0.01961,0.003,0.392,0.066,83.121,16.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M2,Aquatic moss,NA,NA,bagged,0.5,-11.48,-5.77,-7.76,-7.97,2,13/08/2018,1.10002,1.1474,0.1,1.1074,0.04738,0.007,0.474,0.074,84.424,15.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M3,Aquatic moss,NA,NA,bagged,1,-10.8,-5.6,-7.51,-7.68,2.08333,13/08/2018,1.11687,1.1875,0.1,1.1244,0.07063,0.008,0.706,0.075,89.339,10.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M4,Aquatic moss,NA,NA,bagged,1.5,-10.3,-5.36,-7.27,-7.39,2,13/08/2018,1.02882,1.1795,0.2,1.0496,0.15068,0.021,0.753,0.104,86.209,13.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M5,Aquatic moss,NA,NA,bagged,2,-9.81,-5.01,-7.02,-7.1,1.92308,13/08/2018,1.02755,1.2394,0.25,1.0664,0.21185,0.039,0.847,0.155,81.662,18.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M6,Aquatic moss,NA,NA,bagged,2.5,-9.31,-4.63,-6.76,-6.8,2,13/08/2018,1.109,1.3972,0.5,1.1539,0.2882,0.045,0.576,0.09,84.421,15.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M7,Aquatic moss,NA,NA,bagged,3,-8.94,-4.06,-6.51,-6.51,1.85185,13/08/2018,1.02911,1.2822,0.5,1.0699,0.25309,0.041,0.506,0.082,83.883,16.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M8,Aquatic moss,NA,NA,bagged,3.5,-8.32,-3.95,-6.24,-6.22,1.78571,13/08/2018,1.1168,1.4589,0.5,1.1645,0.3421,0.048,0.684,0.095,86.057,13.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M9,Aquatic moss,NA,NA,bagged,4,-7.8,-3.73,-5.96,-5.93,1.85185,13/08/2018,1.11444,1.2396,0.25,1.1293,0.12516,0.015,0.501,0.059,88.127,11.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE_M10,Aquatic moss,NA,NA,bagged,4.5,-7.36,-3.47,-5.69,-5.63,1.78571,13/08/2018,1.03338,1.1863,0.25,1.0549,0.15292,0.022,0.612,0.086,85.927,14.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE2.1,KITE2.1_1,Orange-brown silt/clay lake mud with fine black ash layers dispersed,NA,NA,0,5,-7.14,-3.08,-5.41,-5.34,1.96078,13/08/2018,1.1163,2.9538,1.5,2.2377,1.8375,1.121,1.225,0.748,38.971,61.029,1.845,0.026,1347.277,1.508,15.975,10.465,2033.175,0.71,2.5,2.956666667,1.804411429
KITE2.1,KITE2.1_2,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Coarse Silt,Poorly Sorted,1,6,-6.91,-1.83,-4.9,-4.75,0.00432,13/08/2018,1.11333,2.7102,1.25,2.1036,1.59687,0.99,1.277,0.792,37.987,62.013,1.93,0.005,1166.867,1.671,64.35,38.157,1944.693,0.616,2.168,0.007214021,0.004473644
