Core_Section,Section_depth,Field_depth,Depth,min_calibrated_age,max_calibrated_age,median_calibrated_age,mean_calibrated_age,acc_rate,water_pc,dry_mass,LOI_550C,wet_density,dry_density,DMAR,clay,very_fine_silt,fine_silt,medium_silt,coarse_silt,very_fine_sand,fine_sand,medium_sand,coarse_sand,very_coarse_sand,Clay,Silt,Sand,SUM,SAMPLE_TYPE ,TEXTURAL_GROUP ,SEDIMENT_NAME ,MEAN,SORTING,SKEWNESS,KURTOSIS, GRAVEL, SAND, MUD, V COARSE GRAVEL, COARSE GRAVEL, MEDIUM GRAVEL, FINE GRAVEL, V FINE GRAVEL, V COARSE SAND, COARSE SAND, MEDIUM SAND, FINE SAND, V FINE SAND, V COARSE SILT, COARSE SILT, MEDIUM SILT, FINE SILT, V FINE SILT, CLAY,SUM,Clay_0-2um,Silt_2-63um,Sand_63-2000um,MEAN,SORTING,SKEWNESS,KURTOSIS,MEAN,SORTING,SKEWNESS,KURTOSIS,MEAN,SORTING,SKEWNESS,KURTOSIS,MEAN,SORTING,SKEWNESS,KURTOSIS,MEAN,SORTING,SKEWNESS,KURTOSIS,MODE_1_um:,MODE_2_um:,MODE_3_um:,MODE_1_f:,MODE_2_f:,MODE_3_f:,D10_um:,D50_um:,D90_um:,D90_/_D10_mm:,D90_D10_mm:,D75/D25_mm:,D75_D25_mm:,D10_f:,D50_f:,D90_f:,D90/D10_f:,D90_D10_f:,D75/D25_f:,D75-D25_f:
NA,cm,cm,cm,cal_a_BP,cal_a_BP,cal_a_BP,cal_a_BP,cm_yr-1,pc,pc,pc,gcm-3,gcm-3,g_cm-2_yr-1,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,NA,NA,NA,NA,NA,NA,NA,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,FOLK_AND_WARD_METHOD(um),NA,NA,NA,FOLK_AND_WARD_METHOD(f),WARD_METHOD,NA,NA,METHOD_OF_MOMENTS_Arithmetic_(um),NA,NA,NA,METHOD_OF_MOMENTS_Geometric_(um),NA,NA,NA,METHOD_OF_MOMENTS_Logarithmic_(f),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITE_2.1,9.5,9.5,14.5,770.06,1082.83,894.6,903.82,0.021,38.83,61.17,5.18,1.325,0.81,0.017,6.74,5.54,9.02,12.83,19.46,15.31,18.24,9.89,2.78,0.17,6.74,46.85,46.23,100,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Fine Sand,Very Fine Sand,Very Poorly Sorted,Symmetrical,Mesokurtic,0,57.19,42.81,0,0,0,0,0,5.58,7.63,10.85,16.74,16.4,14.42,10.98,7.52,4.55,2.86,2.48,100,2.48,40.32,57.19,77.71,5.43,-0.1,1.04,3.69,2.44,0.1,1.04,220.25,339.44,2.53,9.52,73.77,5.33,-0.39,2.82,3.74,2.4,0.37,2.8,150.23,844.79,NA,2.74,0.25,NA,7.91,85.24,679.75,85.92,671.84,9.29,213.89,0.56,3.55,6.98,12.54,6.42,2.56,3.22
KITE_2.1,10.5,10.5,15,781.9,1125.86,919.69,928.05,0.021,38.44,61.56,5.17,1.404,0.864,0.018,3.69,3.51,6.2,9.77,19.35,15.43,12.56,13.57,13.74,2.18,3.69,38.83,55.29,100,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Fine Sand,Very Poorly Sorted,Symmetrical,Platykurtic,0,66.52,33.48,0,0,0,0,0,8.08,16.61,11.25,12.84,17.74,13.9,8.38,5.29,2.91,1.63,1.37,100,1.37,32.11,66.52,127.21,5.13,-0.03,0.87,2.97,2.36,0.03,0.87,311.37,390.55,1.62,5.1,116.54,5.14,-0.5,2.87,3.08,2.34,0.48,2.81,84.48,671.05,NA,3.57,0.58,NA,13.7,118.87,917.19,66.93,903.49,11.55,449.81,0.12,3.07,6.19,49.63,6.06,4.45,3.53
KITE_2.1,11,11,15.5,791.08,1181.17,943.97,952.29,0.021,37.95,62.05,5.23,1.215,0.754,0.016,9.55,7.48,11.32,15.59,23.45,15.14,9.78,5.38,1.96,0.34,9.55,57.84,32.26,100,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,Very Coarse Silt,Very Poorly Sorted,Symmetrical,Leptokurtic,0,39.67,60.33,0,0,0,0,0,3.13,3.94,3.59,9.62,19.39,19.45,14.65,10.64,6.92,4.57,4.1,100,4.1,56.23,39.67,38.17,5.01,-0.09,1.21,4.71,2.33,0.09,1.21,129.51,268.17,3.81,18.69,39.09,4.96,-0.11,3.02,4.66,2.31,0.1,3.01,67.11,947.87,671.05,3.9,0.08,0.58,4.57,44.15,277.58,60.71,273.01,7.06,88.43,1.85,4.5,7.77,4.2,5.92,1.86,2.82
KITE_2.1,11.5,11.5,16,797.98,1239.62,964.91,976.53,0.021,36.99,63.01,5.24,1.215,0.766,0.016,4.11,3.47,6.06,9.48,18.88,14.91,10.77,5.98,7.52,18.82,4.11,37.89,39.18,100,"Trimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Coarse Sand,Fine Sand,Very Poorly Sorted,Symmetrical,Platykurtic,0,64.52,35.48,0,0,0,0,0,21.45,5.89,6.29,12.35,18.54,14.51,8.7,5.53,3.11,1.93,1.7,100,1.7,33.78,64.52,141.83,6.46,0.09,0.82,2.82,2.69,-0.09,0.82,411.11,558.58,1.3,3.14,118.71,6.17,-0.3,2.6,3.03,2.59,0.27,2.53,1338.9,84.48,423.4,-0.42,3.57,1.24,12.24,106.78,1424.21,116.32,1411.96,17.12,634.85,-0.51,3.23,6.35,-12.45,6.86,8.21,4.1
KITE_2.1,12,12,17,828.16,1324.12,1009.84,1024.88,0.021,36.84,63.16,5.21,1.268,0.801,0.017,5.16,4.1,7.15,11.61,21.36,17.89,15.76,10.72,5.61,0.64,5.16,44.21,49.99,100,"Unimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,0,57.9,42.1,0,0,0,0,0,1.05,6.88,11.28,17.23,21.46,16.69,10.65,6.49,3.69,2.36,2.22,100,2.22,39.88,57.9,74.87,4.33,-0.13,1.11,3.74,2.12,0.13,1.11,160.54,214.69,2.66,12.24,69.99,4.34,-0.6,3.31,3.83,2.12,0.6,3.31,94.79,NA,NA,3.4,NA,NA,9.77,81.24,434.99,44.51,425.22,6.22,159.71,1.2,3.62,6.68,5.56,5.48,2.1,2.64
KITE_2.1,13,13,18,860.76,1365.24,1059.12,1073.06,0.021,34.85,65.15,5.04,1.402,0.914,0.019,3.74,3.32,6.21,11.17,23.72,20.68,19.83,10.2,1.13,0,3.74,44.42,51.84,100,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,0,63.28,36.72,0,0,0,0,0,2.37,5.96,11.58,19.72,23.64,16.69,9.14,5.15,2.7,1.59,1.45,100,1.45,35.28,63.28,88.07,3.79,-0.1,1.17,3.51,1.92,0.1,1.17,178.86,251.56,3.17,15.44,82.96,3.95,-0.61,3.75,3.58,1.98,0.59,3.72,94.79,NA,NA,3.4,NA,NA,14.22,92.97,441.16,31.02,426.93,5.03,161.79,1.18,3.43,6.14,5.2,4.95,2.01,2.33
KITE_2.1,13.5,13.5,18.5,872.61,1394.23,1084.53,1097.15,0.021,34.41,65.59,4.73,1.402,0.92,0.019,4.07,3.6,6.49,10.6,22.94,19.61,14.28,9.47,7.52,1.42,4.07,43.64,50.87,100,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Very Poorly Sorted,Symmetrical,Leptokurtic,0,59.61,40.39,0,0,0,0,0,2.16,7.01,8.91,16.93,24.6,17.59,9.84,6.01,3.27,1.92,1.76,100,1.76,38.63,59.61,78.16,4.08,-0.09,1.24,3.68,2.03,0.09,1.24,170.63,249.68,2.99,13.81,74.01,4.15,-0.52,3.55,3.75,2.05,0.51,3.53,94.79,475.06,NA,3.4,1.08,NA,11.62,82.28,467.09,40.19,455.47,5.03,141.21,1.1,3.6,6.43,5.85,5.33,1.93,2.33
KITE_2.1,14,14,19,882.55,1426.6,1109.42,1121.24,0.021,38.15,61.85,2.67,1.707,1.056,0.022,4.03,3.59,6.4,10.55,21.75,17.84,12.22,5.58,10.55,7.48,4.03,42.29,46.19,100,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Very Poorly Sorted,Symmetrical,Leptokurtic,0,61.1,38.9,0,0,0,0,0,8.13,9.69,6.41,14.7,22.16,16.62,9.63,5.85,3.23,1.89,1.7,100,1.7,37.21,61.1,102.39,5.23,0.05,1.18,3.29,2.39,-0.05,1.18,256.07,391.59,2.18,7.13,87.59,4.99,-0.31,3.1,3.47,2.29,0.27,3.03,84.48,947.87,NA,3.57,0.08,NA,11.91,88.38,888.03,74.56,876.12,6.55,200.13,0.17,3.5,6.39,37.31,6.22,2.3,2.71
KITE_2.1,14.5,14.5,19.5,893.41,1471.7,1133.58,1145.32,0.022,38.48,61.52,4.84,1.707,1.05,0.023,5.2,5.14,8.83,13.83,28.73,21.62,13.52,2.92,0.2,0,5.2,56.54,38.26,100,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Coarse Silt,Poorly Sorted,Fine Skewed,Leptokurtic,0,51.98,48.02,0,0,0,0,0,2.76,1.5,5.94,16.29,25.49,20.35,11.79,7.51,4.21,2.22,1.94,100,1.94,46.08,51.98,57.49,3.65,-0.17,1.18,4.12,1.87,0.17,1.18,131.65,245.07,4.64,27.07,56.26,3.94,-0.46,3.81,4.13,1.97,0.42,3.78,84.48,NA,NA,3.57,NA,NA,9.37,65.95,253.43,27.04,244.06,4.77,103.56,1.98,3.92,6.74,3.4,4.76,1.77,2.25
KITE_2.1,15,15,20,918.66,1486.85,1155.95,1168.52,0.022,42.49,57.51,4.74,1.445,0.831,0.018,5.72,5.81,10.58,17.2,31.18,19.14,8.89,1.43,0.04,0,5.72,64.78,29.51,100,"Unimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,Very Coarse Silt,Poorly Sorted,Fine Skewed,Leptokurtic,0,41.5,58.5,0,0,0,0,0,1.64,1.53,2.14,11,25.18,24.36,15.11,9.29,4.93,2.47,2.35,100,2.35,56.15,41.5,43.49,3.33,-0.2,1.15,4.52,1.74,0.2,1.15,96.65,195.41,5.57,38.63,42.97,3.67,-0.41,4.01,4.53,1.88,0.39,4.01,67.11,NA,NA,3.9,NA,NA,8.01,50.39,166.18,20.75,158.17,4.45,73.89,2.59,4.31,6.96,2.69,4.37,1.64,2.15
