Core_Section,Core_depth,Field_depth,depth,min_calibrated_age,max_calibrated_age,median_calibrated_age,mean_calibrated_age,acc_rate,Dry_mass,Wet_density,Dry_density,DMAR,Tephra_shards/g,Luticola_cf_muicopsis,Surirella_sp.1,Naviciladicta_semiulum/obsoleta,Stauroneis_cf._acidoclinata,Planothidium_quadripunctatum,Planothidium_sp.1_,Plnothidium_sp._2,Planothidium_frequentisima?,Cavinula_pseudoscutformis,Muelleria_frenguelli,Pinnularia_cf._divergens_var._linearis,Navicula_cf._libonensis,Gomphonema_sp._2_(long_and_thin),Fatter_Gomphonema_(pavulum?),Gomphonema_sp3,Psammothidium_abundans_,"Smaller
Psammothidium_abundans_",Orthoseria_roseana,Navicula_gregaria,Amphora_oligotraphenta,achnanthes_exigua_,Hippodona_hungaric,Staurosirella_pinnata_,Pinnularia_borealis,Achnanthes_muelleri,Thinner_achnanthes,Hanztchia_amphioxys,Fragilaria_capucina_(both_long_and_short),Nitzchia_perminuta,"Nitzchia_gracilis_(longer,_more_bulbus_ends)",Nitzchia_inconspicua,Placoneis_cf._elginesis,Brachysira_minor,"Achnanthidium_minutissimum_(99,_5)",Calconeis_cf_bacillum_,Diatomella_balfouriana_,Naviciladicta_semiulum,avicula_cf._obsoleta?,Craticula_subpampeana,Diatom_cyst_Stauro_circula,Planothidium_delicatulum__®,Staurosira_cf_venter,Luticola_hilgeri,Luticola_cf_cohnii,Pinnularia_gemella,Nitzchia_tryblionella,Staurosirella_inermis,Opephora_martyi.,Nitzchia_paleacea,Pinnularia_sbantarctica_var._elongata,chamaepinnularia_gerlachei,stauroneis_cf._subgracilior,Navicula_cinta,Psammothidium_germainii,Stauoforma_intermedia_,Navicula_australoshetlandica,Incartae_sedis,Microcostatus_cf._naumanni,chamaepinnularia_australomediocris,Diatom_conc_x10-6,PCA_Axis_1,PCA_Axis_2,Cholorphyll-a,Diatom_DMAR,DCCA_Axis_1
,cm,cm,cm,cal_a_BP,cal_a_BP,cal_a_BP,cal_a_BP,cm_yr-1,pc,g_cm-3,g_cm-3,g_cm-2_yr-1,per_g,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,g_cm-1,,,,g_cm-1_yr-1,
Kite_2.1,10,10,15,785.89,1125.78,921.21,929.56,0.02111,60.91399126,1.40375,0.93425,0.019722398,527.71,0,0,1.4152,0,1.6985,0.5662,0,4.2463,4.8125,0.1415,0.283,1.9815,1.6985,0.2803,0,18.259,0.2804,0.1415,0.4246,0,0.9202,2.4062,23.779,0,0.5662,0,0,1.1323,0.849,0.2804,0.5662,0.2831,7.2187,7.8485,0.7077,0.7077,0.5661,3.397,0,0.5662,4.8124,0,0.1415,0,0,0.7077,0,0.283,3.1139,0,0,0,0.2831,0,0,0.2831,0.2831,0,0,61.5884,-0.8317,0.4005,5.15683,1.214670946,0.4637
Kite_2.1,11,11,16,803.09,1212.78,965.84,976.93,0.02063,61.24560296,1.215253333,0.824053333,0.017001307,575.93,0,0,1.1644,0.4367,1.7468,0,0,5.0218,3.9301,0,0.9461,0.1456,0,0.4366,0,15.2838,0.2911,0,0.2911,0.5822,2.7655,1.9651,37.0404,0.1455,2.7655,0,0,0.2911,0,1.455,0,0,4.5123,3.6389,0.5822,0.7278,0.4367,2.329,0.2911,0.5822,2.4745,0,0,0,0,0.2911,0,0.4326,1.1645,0,0,0,0,0,0,0,0,0,0,15.0539,-0.6575,-0.1402,3.97931,0.25593597,0.5826
Kite_2.1,12,12,17,832.28,1301.46,1008.87,1025.4,0.01996,67.71733033,1.26814,0.86094,0.017181002,596.83,0,0,2.2026,0.8631,0.2894,0,0,4.7768,4.7756,0,1.3025,0,2.1071,0.2894,0,12.156,0,0,0.2894,0,2.7496,1.7366,42.257,0,2.234,1.1577,0.1441,0.5588,0.2894,0.7235,0.2894,0.8683,3.183,3.4732,1.7366,1.1577,0,1.7316,0.5788,0.5788,2.3104,0,0.2894,0,0,0.2894,0,0,0.4341,0,0,0,0,0,0,0,0.2894,0.2894,0.2894,15.6549,-0.3353,-0.2196,6.30802,0.268966865,0.7232
Kite_2.1,13,13,18,865.28,1362.56,1059.12,1075.51,0.01996,62.93759572,1.402304,0.941424,0.018787148,832.87,0.2639,0,0.7939,0.9898,0.8918,0,0,3.0355,9.6344,0,2.5735,0.3959,0.7919,1.1878,0,12.8679,1.0558,0.1979,1.2537,1.0558,1.9297,2.5076,34.8422,0.3959,2.5735,0,0.0264,0,0,0.7918,0.5279,0,2.2436,2.2436,0.1319,3.0355,0,1.0558,0.7918,0.132,1.5837,0,0,0,0,0.2639,0,0.5279,0.5279,0,0,0,0,0,0,0,0,0,0,11.0486,-0.1259,-0.2391,7.28843,0.207571686,0.7984
Kite_2.1,14,14,19,892.25,1442.79,1111.97,1125.62,0.02018,59.02844254,1.707226667,1.10016,0.022198547,1239.26,0,0.1415,1.9815,0.1414,1.4152,0.5662,0,2.9723,9.908,0,0.9907,0,0.7077,0.5662,0,18.5421,1.1323,0.1415,0.1415,0,1.6985,2.5477,34.536,0.5661,2.23,0,0.0708,0.7077,0,0.4246,0,0.4262,3.397,2.1231,0.2831,1.1323,0.5661,1.4152,0.1415,0.2831,2.2544,0,0,0,0,0.1415,0,0,1.6908,0,0,0,0,0,0,0,0,0,0,44.2666,-0.5353,0.009,7.68291,0.98265421,0.6353
Kite_2.1,15,15,20,926.49,1517.13,1161.06,1175.18,0.02051,67.23425778,1.444832,0.972512,0.019944873,502.11,0,0.1363,2.2084,0.138,8.055,0.2861,0.2727,1.7943,3.8647,0,1.3112,2.04,0,0.7232,0,21.118,2.4845,0,1.0907,0,0.9662,1.227,17.0416,0.5453,1.9087,0,0,3.272,0.2727,1.9087,0,0.2727,1.0907,7.771,0.409,0.5521,0.2727,1.0907,0.409,0,2.1949,0,0,0,0,0,0,0,1.9087,0,0,0,0,0,0,0,0,0,0,17.2008,-1.0435,0.4418,6.9355,0.343067769,0.2164
Kite_2.1,16,16,21,974.1,1576.24,1211.94,1223.94,0.02051,63.56950096,1.81553,1.22693,0.025162633,590.25,0,0,1.55038,0,2.3256,0,0,2.1318,1.9379,0,0.3875,2.3256,0.7752,0,0,22.868,0.7751,0,0.3876,0.3876,0,0.7752,12.9844,0,0.3875,0.7752,0,2.1313,0,0.5813,0,0,4.2631,12.0155,0,0.7752,0.7752,1.3565,0.3875,2.2356,2.1317,0,0.3875,0,0,0,0,0.2727,2.7131,0,0.8775,0,0,0,0,0.3875,0.3876,1.1627,1.1627,21.5538,-0.9067,0.3085,4.24503,0.542350366,0.2327
Kite_2.1,17,17,22,999.2,1637.82,1262.53,1272.7,0.02166,67.92237149,1.522074286,1.033617143,0.022387203,701.74,0,0,1.40944,0.5638,1.6913,0.5637,0,5.9197,3.8055,0,0.7047,0,1.973,0.2819,0,13.8125,0.8467,0.1409,0,1.5504,0.5638,7.1882,14.6581,2.1141,4.356,3.523,0,8.0313,0,0.5637,0.5637,0,5.7781,4.2283,0.2819,1.2685,0.8457,1.8322,0.2818,0.1409,2.255,1.9732,0,0,0,0,0.2819,0.1491,3.6646,0,0,0,0,0,0,0,0,0,0,21.3917,-0.3303,0.412,2.96924,0.478900321,0.7116
Kite_2.1,19,19,24,1081.53,1787.29,1355.32,1365.04,0.02219,60.30323859,1.41646,0.92001,0.020417443,333.22,0,0.0662,0.529801,0.6623,1.8543,0.8947,0.2649,7.0199,4.9007,0,0.8609,0,1.5893,1.7218,0,11.655,1.0569,0.8609,0,0.3973,0.1324,2.2516,16.0265,1.1921,4.34,2.1191,0,7.184,0,0.1324,1.0596,0,7.8136,5.827,0.8609,3.8411,0,1.4569,0.7947,0.6625,1.9867,0.7947,0.6623,0,0,0,0,0.5289,2.7815,0,0,0,0,0,0,0,0,0,0,10.2978,-0.1354,0.312,3.03882,0.210254749,0.7296
Kite_2.1,20,20,25,1110.84,1889.02,1400.71,1410.1,0.02261,77.78692871,1.432128,0.960128,0.021707619,676.54,0,0,0,3.125,0.6944,0.6944,0,3.8194,6.25,0,6.9444,0.3477,5.5555,2.4305,22.916,4.8611,0,1.7361,0.6944,0,1.7936,1.7361,9.2014,0,1.3888,1.041,0.3472,2.256,0,0,0,0.3472,3.125,0,0.8681,3.1244,0.3472,0.1736,3.9931,2.0833,1.5624,1.3888,0,0,1.0417,0,0,0.3472,0.6944,0,0,0,0,0,0,0,0,0,0,1.8948,1.5672,-0.5172,2.99747,0.041131597,1.6408
