"calBP","PrDens"
12000,0
11999,0
11998,0
11997,0
11996,0
11995,0
11994,0
11993,0
11992,0
11991,0
11990,0
11989,0
11988,0
11987,0
11986,0
11985,0
11984,0
11983,0
11982,0
11981,0
11980,0
11979,0
11978,0
11977,0
11976,0
11975,0
11974,0
11973,0
11972,0
11971,0
11970,0
11969,0
11968,0
11967,0
11966,0
11965,0
11964,0
11963,0
11962,0
11961,0
11960,0
11959,0
11958,0
11957,0
11956,0
11955,0
11954,0
11953,0
11952,0
11951,0
11950,0
11949,0
11948,0
11947,0
11946,0
11945,0
11944,0
11943,0
11942,0
11941,0
11940,0
11939,0
11938,0
11937,0
11936,0
11935,0
11934,0
11933,0
11932,0
11931,0
11930,0
11929,0
11928,0
11927,0
11926,0
11925,0
11924,0
11923,0
11922,0
11921,0
11920,0
11919,0
11918,0
11917,0
11916,0
11915,0
11914,0
11913,0
11912,0
11911,0
11910,0
11909,0
11908,0
11907,0
11906,0
11905,0
11904,0
11903,0
11902,0
11901,0
11900,0
11899,0
11898,0
11897,0
11896,0
11895,0
11894,0
11893,0
11892,0
11891,0
11890,0
11889,0
11888,0
11887,0
11886,0
11885,0
11884,0
11883,0
11882,0
11881,0
11880,0
11879,0
11878,0
11877,0
11876,0
11875,0
11874,0
11873,0
11872,0
11871,0
11870,0
11869,0
11868,0
11867,0
11866,0
11865,0
11864,0
11863,0
11862,0
11861,0
11860,0
11859,0
11858,0
11857,0
11856,0
11855,0
11854,0
11853,0
11852,0
11851,0
11850,0
11849,0
11848,0
11847,0
11846,0
11845,0
11844,0
11843,0
11842,0
11841,0
11840,0
11839,0
11838,0
11837,0
11836,0
11835,0
11834,0
11833,0
11832,0
11831,0
11830,0
11829,0
11828,0
11827,0
11826,0
11825,0
11824,0
11823,0
11822,0
11821,0
11820,0
11819,0
11818,0
11817,0
11816,0
11815,0
11814,0
11813,0
11812,0
11811,0
11810,0
11809,0
11808,0
11807,0
11806,0
11805,0
11804,0
11803,0
11802,0
11801,0
11800,0
11799,0
11798,0
11797,0
11796,0
11795,0
11794,0
11793,0
11792,0
11791,0
11790,0
11789,0
11788,0
11787,0
11786,0
11785,0
11784,0
11783,0
11782,0
11781,0
11780,0
11779,0
11778,0
11777,0
11776,0
11775,0
11774,0
11773,0
11772,0
11771,0
11770,0
11769,0
11768,0
11767,0
11766,0
11765,0
11764,0
11763,0
11762,0
11761,0
11760,0
11759,0
11758,0
11757,0
11756,0
11755,0
11754,0
11753,0
11752,0
11751,0
11750,0
11749,0
11748,0
11747,0
11746,0
11745,0
11744,0
11743,0
11742,0
11741,0
11740,0
11739,0
11738,0
11737,0
11736,0
11735,0
11734,0
11733,0
11732,0
11731,0
11730,0
11729,0
11728,0
11727,0
11726,0
11725,0
11724,0
11723,0
11722,0
11721,0
11720,0
11719,0
11718,0
11717,0
11716,0
11715,0
11714,0
11713,0
11712,0
11711,0
11710,0
11709,0
11708,0
11707,0
11706,0
11705,0
11704,0
11703,0
11702,0
11701,0
11700,0
11699,0
11698,0
11697,0
11696,0
11695,0
11694,0
11693,0
11692,0
11691,0
11690,0
11689,0
11688,0
11687,0
11686,0
11685,0
11684,0
11683,0
11682,0
11681,0
11680,0
11679,0
11678,0
11677,0
11676,0
11675,0
11674,0
11673,0
11672,0
11671,0
11670,0
11669,0
11668,0
11667,0
11666,0
11665,0
11664,0
11663,0
11662,0
11661,0
11660,0
11659,0
11658,0
11657,0
11656,0
11655,0
11654,0
11653,0
11652,0
11651,0
11650,0
11649,0
11648,0
11647,0
11646,0
11645,0
11644,0
11643,0
11642,0
11641,0
11640,0
11639,0
11638,0
11637,0
11636,0
11635,0
11634,0
11633,0
11632,0
11631,0
11630,0
11629,0
11628,0
11627,0
11626,0
11625,0
11624,0
11623,0
11622,0
11621,0
11620,0
11619,0
11618,0
11617,0
11616,0
11615,0
11614,0
11613,0
11612,0
11611,0
11610,0
11609,0
11608,0
11607,0
11606,0
11605,0
11604,0
11603,0
11602,0
11601,0
11600,0
11599,0
11598,0
11597,0
11596,0
11595,0
11594,0
11593,0
11592,0
11591,0
11590,0
11589,0
11588,0
11587,0
11586,0
11585,0
11584,0
11583,0
11582,0
11581,0
11580,0
11579,0
11578,0
11577,0
11576,0
11575,0
11574,0
11573,0
11572,0
11571,0
11570,0
11569,0
11568,0
11567,0
11566,0
11565,0
11564,0
11563,0
11562,0
11561,0
11560,0
11559,0
11558,0
11557,0
11556,0
11555,0
11554,0
11553,0
11552,0
11551,0
11550,0
11549,0
11548,0
11547,0
11546,0
11545,0
11544,0
11543,0
11542,0
11541,0
11540,0
11539,0
11538,0
11537,0
11536,0
11535,0
11534,0
11533,0
11532,0
11531,0
11530,0
11529,0
11528,0
11527,0
11526,0
11525,0
11524,0
11523,0
11522,0
11521,0
11520,0
11519,0
11518,0
11517,0
11516,0
11515,0
11514,0
11513,0
11512,0
11511,0
11510,0
11509,0
11508,0
11507,0
11506,0
11505,0
11504,0
11503,0
11502,0
11501,0
11500,0
11499,0
11498,0
11497,0
11496,0
11495,0
11494,0
11493,0
11492,0
11491,0
11490,0
11489,0
11488,0
11487,0
11486,0
11485,0
11484,0
11483,0
11482,0
11481,0
11480,0
11479,0
11478,0
11477,0
11476,0
11475,0
11474,0
11473,0
11472,0
11471,0
11470,0
11469,0
11468,0
11467,0
11466,0
11465,0
11464,0
11463,0
11462,0
11461,0
11460,0
11459,0
11458,0
11457,0
11456,0
11455,0
11454,0
11453,0
11452,0
11451,0
11450,0
11449,0
11448,0
11447,0
11446,0
11445,0
11444,0
11443,0
11442,0
11441,0
11440,0
11439,0
11438,0
11437,0
11436,0
11435,0
11434,0
11433,0
11432,0
11431,0
11430,0
11429,0
11428,0
11427,0
11426,0
11425,0
11424,0
11423,0
11422,0
11421,0
11420,0
11419,0
11418,0
11417,0
11416,0
11415,0
11414,0
11413,0
11412,0
11411,0
11410,0
11409,0
11408,0
11407,0
11406,0
11405,0
11404,0
11403,0
11402,0
11401,0
11400,0
11399,0
11398,0
11397,0
11396,0
11395,0
11394,0
11393,0
11392,0
11391,0
11390,0
11389,0
11388,0
11387,0
11386,0
11385,0
11384,0
11383,0
11382,0
11381,0
11380,0
11379,0
11378,0
11377,0
11376,0
11375,0
11374,0
11373,0
11372,0
11371,0
11370,0
11369,0
11368,0
11367,0
11366,0
11365,0
11364,0
11363,0
11362,0
11361,0
11360,0
11359,0
11358,0
11357,0
11356,0
11355,0
11354,0
11353,0
11352,0
11351,0
11350,0
11349,0
11348,0
11347,0
11346,0
11345,0
11344,0
11343,0
11342,0
11341,0
11340,0
11339,0
11338,0
11337,0
11336,0
11335,0
11334,0
11333,0
11332,0
11331,0
11330,0
11329,0
11328,0
11327,0
11326,0
11325,2.01069276476004e-07
11324,4.0495866093879e-07
11323,6.11703964799317e-07
11322,8.21341396977577e-07
11321,1.03390756748703e-06
11320,1.24943949103995e-06
11319,1.46797459067362e-06
11318,1.68955070139737e-06
11317,1.91420607386038e-06
11316,2.14197937804026e-06
11315,2.37290970695223e-06
11314,2.60703658037906e-06
11313,2.84439994862149e-06
11312,3.08504019626924e-06
11311,3.3289981459925e-06
11310,3.57631506235374e-06
11309,3.82703265563998e-06
11308,4.08119308571522e-06
11307,4.33883896589317e-06
11306,4.60001336683004e-06
11305,4.86475982043736e-06
11304,5.13458116786513e-06
11303,5.40956493355335e-06
11302,5.68979994673779e-06
11301,5.97537635684657e-06
11300,6.26638564900166e-06
11299,6.56292065962448e-06
11298,6.86507559214483e-06
11297,7.17294603281231e-06
11296,7.48662896660925e-06
11295,7.80622279326435e-06
11294,8.13443428611182e-06
11293,8.47147141298606e-06
11292,8.8175464388921e-06
11291,9.17287599467619e-06
11290,9.53768114625676e-06
11289,9.9121874644051e-06
11288,1.0296625095065e-05
11287,1.06912288301999e-05
11286,1.10962381791557e-05
11285,1.15118974405262e-05
11284,1.19409876810071e-05
11283,1.23838837859876e-05
11282,1.28409690442387e-05
11281,1.33126352702408e-05
11280,1.37992829262853e-05
11279,1.4301321244282e-05
11278,1.48191683471964e-05
11277,1.53532513700438e-05
11276,1.59040065803625e-05
11275,1.62708102216133e-05
11274,1.66534556059258e-05
11273,1.7052446681827e-05
11272,1.74682999338709e-05
11271,1.79015445971532e-05
11270,1.835272287243e-05
11269,1.88223901417259e-05
11268,1.93111151843129e-05
11267,1.98194803929374e-05
11266,2.0348081990169e-05
11265,2.08975302447387e-05
11264,2.14726722164326e-05
11263,2.20743735166289e-05
11262,2.27035210864491e-05
11261,2.33610234698861e-05
11260,2.40478110814801e-05
11259,2.47648364681551e-05
11258,2.55130745648186e-05
11257,2.62935229433254e-05
11256,2.71072020543994e-05
11255,2.79551554621021e-05
11254,2.88288281460283e-05
11253,2.97288642949239e-05
11252,3.06559204102567e-05
11251,3.16106654330653e-05
11250,3.25937808688876e-05
11249,3.36059609106468e-05
11248,3.46479125593722e-05
11247,3.57203557426266e-05
11246,3.68240234305136e-05
11245,3.79596617491348e-05
11244,3.91221615745946e-05
11243,4.03120483367115e-05
11242,4.15298546666249e-05
11241,4.27761204120267e-05
11240,4.4051392649824e-05
11239,4.53562256961566e-05
11238,4.66911811136972e-05
11237,4.80568277161576e-05
11236,4.94537415699278e-05
11235,5.08825059927711e-05
11234,5.2349254741648e-05
11233,5.38547647103368e-05
11232,5.53998214092269e-05
11231,5.69852188407331e-05
11230,5.86117593667359e-05
11229,6.02802535679452e-05
11228,6.19915200950906e-05
11227,6.37463855118474e-05
11226,6.55456841294087e-05
11225,6.7390257832622e-05
11224,6.92947826080816e-05
11223,7.12607424113756e-05
11222,7.32896405230378e-05
11221,7.53829991604312e-05
11220,7.75423590613725e-05
11219,7.97692790390674e-05
11218,8.20653355079505e-05
11217,8.44321219800427e-05
11216,8.68712485314656e-05
11215,8.93843412387756e-05
11214,9.19566808484231e-05
11213,9.45892437887248e-05
11212,9.7283009777604e-05
11211,0.000100038961415025
11210,0.000102858083763533
11209,0.000105741363916937
11208,0.000108689790557173
11207,0.000111704353499419
11206,0.000114786043225514
11205,0.00011793585040578
11204,0.000121177241135788
11203,0.000124512082459997
11202,0.000127942252282486
11201,0.000131469638456916
11200,0.000135096137843582
11199,0.000138823655333634
11198,0.000142654102840567
11197,0.000146589398259111
11196,0.000150631464391717
11195,0.000154782227842852
11194,0.000159030052007476
11193,0.000163376537408128
11192,0.00016782329077107
11191,0.000172371924385608
11190,0.000177024055442986
11189,0.000181781305354789
11188,0.000186645299050842
11187,0.000191617664256601
11186,0.000196700030750041
11185,0.000201894029598077
11184,0.00020715945059611
11183,0.000212496673426435
11182,0.000217906066262213
11181,0.000223387985474343
11180,0.000228942775339663
11179,0.000234570767750658
11178,0.000240272281926863
11177,0.000246047624128135
11176,0.000251897087369997
11175,0.000257820951141219
11174,0.000263791921750171
11173,0.000269809274852228
11172,0.000275872255571427
11171,0.000281980078423216
11170,0.00028813192726073
11169,0.000294326955245161
11168,0.000300564284840781
11167,0.000306843007835158
11166,0.000313162185385081
11165,0.000319520848088708
11164,0.000325916199486605
11163,0.000332347414727818
11162,0.000338813643263341
11161,0.000345314008789031
11160,0.000351847609203623
11159,0.000358413516582234
11158,0.000365010777165733
11157,0.000371638411366337
11156,0.000378295413789819
11155,0.000384980753274661
11154,0.000391648893441048
11153,0.000398297866207768
11152,0.0004049256778171
11151,0.000411530309526572
11150,0.000418109718334889
11149,0.000424661837742085
11148,0.000431184578543944
11147,0.000437675829660665
11146,0.000444133458999755
11145,0.000450555314353036
11144,0.000456956051775581
11143,0.000463333952543804
11142,0.000469687278248353
11141,0.000476014271269698
11140,0.000482313155275723
11139,0.000488582135741429
11138,0.000494819400490881
11137,0.000501023120261495
11136,0.000507191449290759
11135,0.000513322525925444
11134,0.000519481912959997
11133,0.000525669055651612
11132,0.000531883387686114
11131,0.00053812433123955
11130,0.000544391297045414
11129,0.00055068368446756
11128,0.00055700088157884
11127,0.000563342265245495
11126,0.000569707201217353
11125,0.000576095044223847
11124,0.000582535683533693
11123,0.000589028936473218
11122,0.000595574606998257
11121,0.000602172485569844
11120,0.000608822349032924
11119,0.000615523960498166
11118,0.00062227706922697
11117,0.000629081410519757
11116,0.000635936705607633
11115,0.000642842661547518
11114,0.0006497939499912
11113,0.000656790311618244
11112,0.000663831476571691
11111,0.000670917164398404
11110,0.000678047083991703
11109,0.00068522093353634
11108,0.000692438400455841
11107,0.000699699161362281
11106,0.000707002882008524
11105,0.00071434921724297
11104,0.000721827329725483
11103,0.000729437780537573
11102,0.000737181099332519
11101,0.000745057783643758
11100,0.000753068298197475
11099,0.000761213074229833
11098,0.000769492508809253
11097,0.000777906964164183
11096,0.000786456767016784
11095,0.000795142207922964
11094,0.000804070284151581
11093,0.000813448022522311
11092,0.000823080437989424
11091,0.00083296832133703
11090,0.000843112348320735
11089,0.000853509711510551
11088,0.000864160579353814
11087,0.000875064987164358
11086,0.000886222835489357
11085,0.000897633888582269
11084,0.000909215541656671
11083,0.000920966607930916
11082,0.00093288580105818
11081,0.000944971734595581
11080,0.000957222921539824
11079,0.000969631317040522
11078,0.000982195166085227
11077,0.000994912611255388
11076,0.00100778169253056
11075,0.00102080034716326
11074,0.00103382656262444
11073,0.00104685932460649
11072,0.00105989761013595
11071,0.00107294038771778
11070,0.00108598661748263
11069,0.00109903581977217
11068,0.00111208692965353
11067,0.00112513887436469
11066,0.00113819057347325
11065,0.00115124093903818
11064,0.00116419910377403
11063,0.00117706423666426
11062,0.00118983551509817
11061,0.00120251212512147
11060,0.0012150932616869
11059,0.00122757660552491
11058,0.00123996142048779
11057,0.00125224697902497
11056,0.00126443256244768
11055,0.00127651746119325
11054,0.00128840549599872
11053,0.00130009561368794
11052,0.00131158679190817
11051,0.00132287803991647
11050,0.0013339683993622
11049,0.00134485849961032
11048,0.00135554739870627
11047,0.00136603419049992
11046,0.00137611857591974
11045,0.00138600196721198
11044,0.00139561758969876
11043,0.00140475783020256
11042,0.00141361708740688
11041,0.00142219398422756
11040,0.00143048725873827
