Sample,LOI ID,ID,Core sed depth,Min strat depth,Max strat depth,midpoint,Pb-210 activity,±
KITE2.1_2,T2,1,1.0,6,7,6.5,6.45,0.73
KITE2.1_3,T3,2,2.0,7,8,7.5,4.79,0.32
KITE2.1_4,T4,3,3.0,8,9,8.5,5.77,0.52
KITE2.1_5,T5,4,4.0,9,10,9.5,5.24,0.65
KITE2.1_6,T6,5,5.0,10,11,10.5,4.11,0.30
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
