KITE_Diatoms%,,,,SHCal20,,,,,,,,,,,Species %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHCal20,,,
Core,Core depth,Field depth,Strat depth (cm) includes 5 cm surface moss,depth,min,max,median,mean,Acc rate (cm yr-1) SHCal13 1 cm ,Dry mass (Imogen),wet density (g cm-3),Dry density (g cm-3),DMAR SH20 (g cm-2 yr-1),Tephra shards/g,Luticola cf muicopsis,Surirella sp.1,Naviciladicta semiulum/obsoleta,Stauroneis cf. acidoclinata,Planothidium quadripunctatum,Planothidium sp.1 ,Plnothidium sp. 2,Planothidium frequentisima?,Cavinula pseudoscutformis,Muelleria frenguelli,Pinnularia cf. divergens var. linearis,Navicula cf. libonensis,Gomphonema sp. 2 (long and thin),Fatter Gomphonema (pavulum?),Gomphonema sp3,Psammothidium abundans ,"Smaller
Psammothidium abundans ",Orthoseria roseana,Navicula gregaria,Amphora oligotraphenta,achnanthes exigua ,Hippodona hungaric,Staurosirella pinnata ,Pinnularia borealis,Achnanthes muelleri,Thinner achnanthes,Hanztchia amphioxys,Fragilaria capucina (both long and short),Nitzchia perminuta,"Nitzchia gracilis (longer, more bulbus ends)",Nitzchia inconspicua,Placoneis cf. elginesis,Brachysira minor,"Achnanthidium minutissimum (99, 5)",Calconeis cf bacillum ,Diatomella balfouriana ,Naviciladicta semiulum,avicula cf. obsoleta?,Craticula subpampeana,Diatom cyst Stauro circula,Planothidium delicatulum  ®,Staurosira cf venter,Luticola hilgeri,Luticola cf cohnii,Pinnularia gemella,Nitzchia tryblionella,Staurosirella inermis,Opephora martyi.,Nitzchia paleacea,Pinnularia sbantarctica var. elongata,chamaepinnularia gerlachei,stauroneis cf. subgracilior,Navicula cinta,Psammothidium germainii,Stauoforma intermedia ,Navicula australoshetlandica,Incartae sedis,Microcostatus cf. naumanni,chamaepinnularia australomediocris,Diatom conc g cm-1 x10-6,PCA Axis 1,PCA Axis 2,Cholorphyll-a,Diatom DMAR g cm-1 yr-1,DCCA Axis 1,depth,
Kite 2.1,11,11,16,16,803.09,1212.78,965.84,976.93,0.02063,61.24560296,1.215253333,0.824053333,0.017001307,575.93,0,0,1.1644,0.4367,1.7468,0.0000,0.0000,5.0218,3.9301,0.0000,0.9461,0.1456,0.0000,0.4366,0.0000,15.2838,0.2911,0.0000,0.2911,0.5822,2.7655,1.9651,37.0404,0.1455,2.7655,0.0000,0.0000,0.2911,0.0000,1.4550,0.0000,0.0000,4.5123,3.6389,0.5822,0.7278,0.4367,2.3290,0.2911,0.5822,2.4745,0.0000,0.0000,0.0000,0.0000,0.2911,0.0000,0.4326,1.1645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0539,-0.6575,-0.1402,3.97931,0.25593597,0.5826,16,
Kite 2.1,12,12,17,17,832.28,1301.46,1008.87,1025.40,0.01996,67.71733033,1.26814,0.86094,0.017181002,596.83,0,0,2.2026,0.8631,0.2894,0.0000,0.0000,4.7768,4.7756,0.0000,1.3025,0.0000,2.1071,0.2894,0.0000,12.1560,0.0000,0.0000,0.2894,0.0000,2.7496,1.7366,42.2570,0.0000,2.2340,1.1577,0.1441,0.5588,0.2894,0.7235,0.2894,0.8683,3.1830,3.4732,1.7366,1.1577,0.0000,1.7316,0.5788,0.5788,2.3104,0.0000,0.2894,0.0000,0.0000,0.2894,0.0000,0.0000,0.4341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2894,0.2894,0.2894,15.6549,-0.3353,-0.2196,6.30802,0.268966865,0.7232,17,
Kite 2.1,13,13,18,18,865.28,1362.56,1059.12,1075.51,0.01996,62.93759572,1.402304,0.941424,0.018787148,832.87,0.2639,0,0.7939,0.9898,0.8918,0.0000,0.0000,3.0355,9.6344,0.0000,2.5735,0.3959,0.7919,1.1878,0.0000,12.8679,1.0558,0.1979,1.2537,1.0558,1.9297,2.5076,34.8422,0.3959,2.5735,0.0000,0.0264,0.0000,0.0000,0.7918,0.5279,0.0000,2.2436,2.2436,0.1319,3.0355,0.0000,1.0558,0.7918,0.1320,1.5837,0.0000,0.0000,0.0000,0.0000,0.2639,0.0000,0.5279,0.5279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0486,-0.1259,-0.2391,7.28843,0.207571686,0.7984,18,
Kite 2.1,14,14,19,19,892.25,1442.79,1111.97,1125.62,0.02018,59.02844254,1.707226667,1.10016,0.022198547,1239.26,0,0.1415,1.9815,0.1414,1.4152,0.5662,0.0000,2.9723,9.9080,0.0000,0.9907,0.0000,0.7077,0.5662,0.0000,18.5421,1.1323,0.1415,0.1415,0.0000,1.6985,2.5477,34.5360,0.5661,2.2300,0.0000,0.0708,0.7077,0.0000,0.4246,0.0000,0.4262,3.3970,2.1231,0.2831,1.1323,0.5661,1.4152,0.1415,0.2831,2.2544,0.0000,0.0000,0.0000,0.0000,0.1415,0.0000,0.0000,1.6908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.2666,-0.5353,0.009,7.68291,0.98265421,0.6353,19,
Kite 2.1,15,15,20,20,926.49,1517.13,1161.06,1175.18,0.02051,67.23425778,1.444832,0.972512,0.019944873,502.11,0,0.1363,2.2084,0.1380,8.0550,0.2861,0.2727,1.7943,3.8647,0.0000,1.3112,2.0400,0.0000,0.7232,0.0000,21.1180,2.4845,0.0000,1.0907,0.0000,0.9662,1.2270,17.0416,0.5453,1.9087,0.0000,0.0000,3.2720,0.2727,1.9087,0.0000,0.2727,1.0907,7.7710,0.4090,0.5521,0.2727,1.0907,0.4090,0.0000,2.1949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2008,-1.0435,0.4418,6.9355,0.343067769,0.2164,20,
Kite 2.1,16,16,21,21,974.1,1576.24,1211.94,1223.94,0.02051,63.56950096,1.81553,1.22693,0.025162633,590.25,0,0,1.55038,0.0000,2.3256,0.0000,0.0000,2.1318,1.9379,0.0000,0.3875,2.3256,0.7752,0.0000,0.0000,22.8680,0.7751,0.0000,0.3876,0.3876,0.0000,0.7752,12.9844,0.0000,0.3875,0.7752,0.0000,2.1313,0.0000,0.5813,0.0000,0.0000,4.2631,12.0155,0.0000,0.7752,0.7752,1.3565,0.3875,2.2356,2.1317,0.0000,0.3875,0.0000,0.0000,0.0000,0.0000,0.2727,2.7131,0.0000,0.8775,0.0000,0.0000,0.0000,0.0000,0.3875,0.3876,1.1627,1.1627,21.5538,-0.9067,0.3085,4.24503,0.542350366,0.2327,21,
Kite 2.1,17,17,22,22,999.2,1637.82,1262.53,1272.7,0.02166,67.92237149,1.522074286,1.033617143,0.022387203,701.74,0,0,1.40944,0.5638,1.6913,0.5637,0.0000,5.9197,3.8055,0.0000,0.7047,0.0000,1.9730,0.2819,0.0000,13.8125,0.8467,0.1409,0.0000,1.5504,0.5638,7.1882,14.6581,2.1141,4.3560,3.5230,0.0000,8.0313,0.0000,0.5637,0.5637,0.0000,5.7781,4.2283,0.2819,1.2685,0.8457,1.8322,0.2818,0.1409,2.2550,1.9732,0.0000,0.0000,0.0000,0.0000,0.2819,0.1491,3.6646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.3917,-0.3303,0.412,2.96924,0.478900321,0.7116,22,
Kite 2.1,19,19,24,24,1081.53,1787.29,1355.32,1365.04,0.02219,60.30323859,1.41646,0.92001,0.020417443,333.22,0,0.0662,0.529801,0.6623,1.8543,0.8947,0.2649,7.0199,4.9007,0.0000,0.8609,0.0000,1.5893,1.7218,0.0000,11.6550,1.0569,0.8609,0.0000,0.3973,0.1324,2.2516,16.0265,1.1921,4.3400,2.1191,0.0000,7.1840,0.0000,0.1324,1.0596,0.0000,7.8136,5.8270,0.8609,3.8411,0.0000,1.4569,0.7947,0.6625,1.9867,0.7947,0.6623,0.0000,0.0000,0.0000,0.0000,0.5289,2.7815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2978,-0.1354,0.312,3.03882,0.210254749,0.7296,24,
Kite 2.1,20,20,25,25,1110.84,1889.02,1400.71,1410.1,0.02261,77.78692871,1.432128,0.960128,0.021707619,676.54,0,0,0,3.1250,0.6944,0.6944,0.0000,3.8194,6.2500,0.0000,6.9444,0.3477,5.5555,2.4305,22.9160,4.8611,0.0000,1.7361,0.6944,0.0000,1.7936,1.7361,9.2014,0.0000,1.3888,1.0410,0.3472,2.2560,0.0000,0.0000,0.0000,0.3472,3.1250,0.0000,0.8681,3.1244,0.3472,0.1736,3.9931,2.0833,1.5624,1.3888,0.0000,0.0000,1.0417,0.0000,0.0000,0.3472,0.6944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8948,1.5672,-0.5172,2.99747,0.041131597,1.6408,25,
Kite 2.1,21,21,26,26,1159.35,1952.39,1444.73,1454.33,0.02327,66.38759052,1.545945,1.054245,0.024531588,563.07,0,0.21818,0.8727,0.9454,1.7454,0.2909,0.0000,5.5272,6.9818,0.0000,4.0000,0.4362,5.8182,1.6000,0.0000,12.0720,0.8727,0.9455,0.2181,0.0000,1.5272,1.8909,13.9613,0.2909,2.4727,0.0000,0.0000,3.3454,0.0000,0.0000,0.0000,0.0000,2.6180,5.2360,1.1636,2.5263,0.0000,1.4554,2.9810,2.3727,1.8914,1.0182,0.2909,0.0000,0.5818,0.0000,0.0000,0.5818,0.8723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.36204,0.1544,-0.0571,2.42792,0.082476181,0.889,26,
