KITE_DMAR_GEOTEK,,,,,,,,SHCal20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core,Sample ID Label,Visual Description,Folk and Ward method Grain size definition,Folk and Ward method sorting definition,Core Depth (cm),Field depth,Strat depth,depth,min,max,median,mean,acc rate (cm yr-1),Date sampled,2 ml mass (g),2 ml tube + wet sediment (g),Volume of wet sediment (cm-3),2 ml + FD sediment,Wet weight / g,Dry weight (freeze dry)   / g,Wet density / gcm-3,Dry density / g cm-3,% water content,% FD dry mass ,1 cm mean GEOTEK CT (core thickness),PWAmp,PWVel (m s-1),Wet gamma Den1_SAT (g cm-3),MS (x10-5 SI),χhf Den1_SAT Corr MS ( x 10^-8 SI) (m^3/kg),Impedance_SAT,Fractional Porosity_SAT,RES_SAT (Ohm.m),WMAR,DMAR,MOSS layer = 1            MOSS rich =2,"Clasts , tephra etc 1=present"
KITE2.1,KITE_M1,Aquatic moss,,,0,bagged,0,0,-12.09,-5.96,-8.01,-8.27,2.00000,13/08/2018,1.09789,1.11750,0.05,1.10120,0.01961,0.003,0.392,0.066,83.121,16.879,,,,,,,,,,,,1,
KITE2.1,KITE_M2,Aquatic moss,,,0.5,bagged,0.5,0.5,-11.48,-5.77,-7.76,-7.97,2.00000,13/08/2018,1.10002,1.14740,0.10,1.10740,0.04738,0.007,0.474,0.074,84.424,15.576,,,,,,,,,,,,1,
KITE2.1,KITE_M3,Aquatic moss,,,1,bagged,1,1,-10.80,-5.60,-7.51,-7.68,2.08333,13/08/2018,1.11687,1.18750,0.10,1.12440,0.07063,0.008,0.706,0.075,89.339,10.661,,,,,,,,,,,,1,
KITE2.1,KITE_M4,Aquatic moss,,,1.5,bagged,1.5,1.5,-10.30,-5.36,-7.27,-7.39,2.00000,13/08/2018,1.02882,1.17950,0.20,1.04960,0.15068,0.021,0.753,0.104,86.209,13.791,,,,,,,,,,,,1,
KITE2.1,KITE_M5,Aquatic moss,,,2,bagged,2,2,-9.81,-5.01,-7.02,-7.10,1.92308,13/08/2018,1.02755,1.23940,0.25,1.06640,0.21185,0.039,0.847,0.155,81.662,18.338,,,,,,,,,,,,1,
KITE2.1,KITE_M6,Aquatic moss,,,2.5,bagged,2.5,2.5,-9.31,-4.63,-6.76,-6.80,2.00000,13/08/2018,1.10900,1.39720,0.50,1.15390,0.28820,0.045,0.576,0.090,84.421,15.579,,,,,,,,,,,,1,
KITE2.1,KITE_M7,Aquatic moss,,,3,bagged,3,3,-8.94,-4.06,-6.51,-6.51,1.85185,13/08/2018,1.02911,1.28220,0.50,1.06990,0.25309,0.041,0.506,0.082,83.883,16.117,,,,,,,,,,,,1,
KITE2.1,KITE_M8,Aquatic moss,,,3.5,bagged,3.5,3.5,-8.32,-3.95,-6.24,-6.22,1.78571,13/08/2018,1.11680,1.45890,0.50,1.16450,0.34210,0.048,0.684,0.095,86.057,13.943,,,,,,,,,,,,1,
KITE2.1,KITE_M9,Aquatic moss,,,4,bagged,4,4,-7.80,-3.73,-5.96,-5.93,1.85185,13/08/2018,1.11444,1.23960,0.25,1.12930,0.12516,0.015,0.501,0.059,88.127,11.873,,,,,,,,,,,,1,
KITE2.1,KITE_M10,Aquatic moss,,,4.5,bagged,4.5,4.5,-7.36,-3.47,-5.69,-5.63,1.78571,13/08/2018,1.03338,1.18630,0.25,1.05490,0.15292,0.022,0.612,0.086,85.927,14.073,,,,,,,,,,,,1,
KITE2.1,KITE2.1_1,Orange-brown silt/clay lake mud with fine black ash layers dispersed,,,0,0,5,5,-7.14,-3.08,-5.41,-5.34,1.96078,13/08/2018,1.11630,2.95380,1.50,2.23770,1.83750,1.121,1.225,0.748,38.971,61.029,1.845,0.026,1347.277,1.508,15.975,10.465,2033.175,0.710,2.500,2.956666667,1.804411429,,
KITE2.1,KITE2.1_2,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Coarse Silt,Poorly Sorted,1,1,6,6,-6.91,-1.83,-4.90,-4.75,0.00432,13/08/2018,1.11333,2.71020,1.25,2.10360,1.59687,0.990,1.277,0.792,37.987,62.013,1.930,0.005,1166.867,1.671,64.350,38.157,1944.693,0.616,2.168,0.007214021,0.004473644,,
KITE2.1,KITE2.1_3,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Coarse Silt,Very Poorly Sorted,2,2,7,7,157.69,278.97,226.76,223.50,0.00432,13/08/2018,1.11442,3.54290,1.75,2.62320,2.42848,1.509,1.388,0.862,37.871,62.129,1.975,0.002,576.717,1.686,253.650,150.383,973.444,0.608,1.600,0.007288236,0.004528077,,
KITE2.1,KITE2.1_4,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Coarse Silt,Poorly Sorted,3,3,8,8,321.34,563.24,458.15,451.74,0.00432,13/08/2018,1.02526,3.97670,2.00,2.89990,2.95144,1.875,1.476,0.937,36.484,63.516,2.000,0.002,411.566,1.691,439.950,260.140,696.991,0.605,1.343,0.007304968,0.004639832,,
KITE2.1,KITE2.1_5,Orange-brown silt/clay lake mud with fine black ash layers dispersed,,,4,4,9,9,484.76,847.33,689.65,679.99,0.01939,13/08/2018,1.11120,3.89050,2.00,2.92690,2.77930,1.816,1.390,0.908,34.671,65.329,2.005,0.002,540.279,1.712,506.425,295.762,924.433,0.593,1.253,0.033200989,0.021690007,,T
KITE2.1,KITE2.1_6,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Coarse Silt,Very Poorly Sorted,5,5,10,10,617.71,879.07,741.22,742.04,0.03862,13/08/2018,1.02965,3.87610,2.00,2.89130,2.84645,1.862,1.423,0.931,34.597,65.403,1.985,0.002,682.787,1.654,525.725,318.087,1130.056,0.626,1.276,0.063880842,0.04177968,,
KITE2.1,KITE2.1_7,Orange-brown silt/clay lake mud with fine black ash layers dispersed,,,6,6,11,11,666.82,901.70,767.11,773.06,0.00000,13/08/2018,1.11353,3.50330,1.75,2.63530,2.38977,1.522,1.366,0.870,36.321,63.679,1.903,0.002,579.302,1.595,542.125,339.903,925.957,0.660,1.292,0,0,,
KITE2.1,KITE2.1_8,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Fine Sand,Very poorly to poorly Sorted,7,7,12,12,666.82,901.70,767.11,773.06,0.01808,13/08/2018,1.11804,2.73040,1.25,2.14630,1.61236,1.028,1.290,0.823,36.226,63.774,1.740,0.005,817.247,1.663,377.800,228.433,1362.360,0.621,1.298,0.030064636,0.0191733,,
KITE2.1,KITE2.1_9,Dark grey brown mud (oxidised light grey LIA unit in photos),Very Coarse Silt - fine sand,Very poorly to poorly Sorted,8,8,13,13,719.93,975.41,822.42,828.90,0.01827,13/08/2018,1.11335,2.54940,1.25,2.05780,1.43605,0.944,1.149,0.756,34.233,65.767,1.644,0.017,1329.653,1.716,484.625,281.904,2280.767,0.591,1.310,0.031364675,0.020627671,,
KITE2.1,KITE2.1_10,Dark grey brown mud (oxidised light grey LIA unit in photos),Very Fine Sand,Very Poorly Sorted,9,9,14,14,755.14,1065.41,877.14,885.86,0.01994,13/08/2018,1.11042,2.10390,0.75,1.76930,0.99348,0.659,1.325,0.879,33.680,66.320,1.627,0.012,1307.518,1.746,737.300,422.301,2283.912,0.574,1.355,0.03480612,0.023083561,,
KITE2.1,KITE2.1_11,Dark grey brown mud (oxidised light grey LIA unit in photos),Very Coarse Silt - fine sand,Very Poorly Sorted,10,10,15,15,784.75,1121.32,927.30,935.20,0.02158,13/08/2018,1.11245,2.51620,1.00,2.04670,1.40375,0.934,1.404,0.934,33.446,66.554,1.636,0.019,1447.025,1.771,730.250,412.235,2563.269,0.559,1.286,0.038234945,0.025446837,,
