C:\Data\BAS_sjro\Kite-2-1     09/05/2018  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000000.spe	112.20	6.23	1	0.018359	-0.021764	0.006533	0.113123	12557.00000	1.31	0	16	51	8	14	29	210	90	1296	835	37	31	620	38533	162	39	168	110	0	34	63	112	1433	0	219	0	11	0	13	119	198	77	32	74	19	92	32	20	53	204	0	148626771867993	11061	3181	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000001.spe	112.40	6.22	0	0.018357	-0.021764	0.006482	0.113123	13812.00000	1.23	0	6	37	0	0	0	202	88	1656	1000	36	16	812	45781	162	67	116	112	0	27	67	0	1411	23	354	0	0	0	16	154	223	23	107	42	26	31	0	15	54	249	0	713010276851175	11453	3477	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000002.spe	112.60	6.20	0	0.018358	-0.021764	0.006433	0.113123	13986.00000	1.27	0	5	64	0	5	0	196	108	1743	1048	35	37	964	46858	211	63	112	92	5	0	59	85	1212	0	402	0	8	0	26	110	199	0	23	85	0	0	7	0	66	237	0	0	11284	3329	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000003.spe	112.80	6.19	0	0.018357	-0.021764	0.006415	0.113123	14653.00000	1.32	0	16	46	0	10	0	181	69	1700	1068	44	42	1146	50493	52	101	134	73	0	0	32	89	1306	0	368	0	10	0	69	121	249	47	107	79	73	85	0	19	86	381	9	1621312243950380	11501	3373	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000004.spe	113.00	6.18	0	0.018357	-0.021764	0.006401	0.113123	15660.00000	1.34	0	20	49	8	0	0	163	94	1857	1169	55	46	1161	55491	193	59	178	80	0	0	84	32	1522	0	373	13	8	0	14	106	273	0	96	7	33	27	28	0	13	274	8	1601755588619230	12320	3467	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000005.spe	113.20	6.17	0	0.018356	-0.021764	0.006379	0.113123	15972.00000	1.57	0	0	74	0	13	4	173	121	2020	1224	65	47	1258	55852	318	84	158	83	6	60	83	135	1506	0	380	0	0	11	37	138	266	27	83	23	7	36	4	0	25	244	9	0	12175	3578	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000006.spe	113.40	6.17	1	0.018359	-0.021764	0.006333	0.113123	16185.00000	1.40	20	19	108	17	16	0	165	108	2056	1212	101	22	1350	56575	150	90	227	70	49	67	152	155	1477	0	501	0	15	0	0	148	309	105	85	54	20	0	41	0	145	339	8	22831074588444	12454	3466	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000007.spe	113.60	6.17	1	0.018361	-0.021764	0.006394	0.113123	15952.00000	1.31	0	42	69	0	11	0	191	105	2044	1154	68	41	1445	56320	155	105	183	86	0	0	0	0	1410	0	388	0	0	0	24	103	276	15	31	28	12	16	0	0	86	313	0	0	11932	3559	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000008.spe	113.80	6.16	1	0.018359	-0.021764	0.006448	0.113123	15837.00000	1.28	0	22	70	18	16	17	180	119	1959	1251	65	26	1630	56286	88	66	154	91	0	6	146	0	1532	0	315	0	17	0	42	96	251	0	79	0	14	81	0	14	17	343	0	0	12017	3442	
C:\Data\BAS_sjro\Kite-2-1\XRF data\L000009.spe	114.00	6.16	1	0.018360	-0.021764	0.006435	0.113123	15561.00000	1.39	22	48	88	25	5	0	157	84	1691	1096	124	18	1535	54599	104	64	102	77	0	0	103	0	1454	0	379	9	21	0	37	129	209	34	104	69	0	83	54	75	72	266	0	0	12246	3524	
