labID,age,error,depth,cc,dR,dSTD,t.a,t.b
501582,-6.3,1,0.25,0,0,0,3,4
516809,-6.8,1,4,0,0,0,3,4
516810,1350,30,5.5,3,700,100,3,4
504801,1600,30,9.5,3,700,100,3,4
T1a,910,40,12.5,3,0,0,3,4
497408,9380,30,21.5,3,700,100,3,4
501584,1860,30,36.25,3,0,0,3,4
T3a,3370,30,42.5,3,0,0,3,4
501585,3350,30,45.75,3,0,0,3,4
T5min,4890,40,58,3,0,0,3,4
T5max,4890,40,64,3,0,0,3,4
498331,6410,30,74,3,0,0,3,4
